,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2007,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
33,North Carolina,896.0,3583.0,1764.0,3509.0,16880.0,3128.0,4771.0,1152.0,39412.0,17880.0,2304.0,702.0,671.0,5913.0,4553.0,1681.0,2715.0,3799.0,5900.0,14643.0,1048.0,7211.0,1886.0,3245.0,2251.0,419.0,,470.0,574.0,1717.0,13879.0,1090.0,920.0,33587.0,11936.0,1594.0,1674.0,14163.0,848.0,1608.0,25004.0,132.0,7670.0,13357.0,1800.0,33719.0,1162.0,2665.0,2414.0,3853.0,619.0,Florida,South Carolina,,,328371.0,223573.0,9118037.0,0.03601334366157979,0.024519861018331028,,0.011493482643248759,104798.0,NC,FL,SC,Foreign
34,North Dakota,76.0,37.0,51.0,731.0,1562.0,1068.0,154.0,0.0,854.0,128.0,46.0,290.0,171.0,385.0,182.0,277.0,86.0,234.0,68.0,47.0,0.0,545.0,8552.0,238.0,285.0,1326.0,27.0,,340.0,0.0,60.0,194.0,251.0,242.0,185.0,155.0,293.0,313.0,0.0,0.0,44.0,1603.0,350.0,1324.0,84.0,302.0,0.0,685.0,413.0,0.0,137.0,Minnesota,Minnesota,,,24395.0,23292.0,652822.0,0.03736853231049199,0.03567894464340969,,0.0016895876670822985,1103.0,ND,MN,MN,Foreign
35,Ohio,617.0,1923.0,838.0,3612.0,11449.0,2712.0,1179.0,1299.0,18364.0,6246.0,135.0,1511.0,268.0,9638.0,11410.0,1063.0,13777.0,1806.0,3292.0,4255.0,337.0,16261.0,1513.0,2616.0,821.0,150.0,7371.0,677.0,1150.0,625.0,3349.0,431.0,2041.0,8032.0,,870.0,1365.0,14099.0,1471.0,245.0,3575.0,57.0,4973.0,7966.0,1976.0,5196.0,347.0,1661.0,1999.0,7754.0,363.0,Florida,Florida,,,194685.0,229561.0,11500468.0,0.01692844152081463,0.019961013760483485,,-0.003032572239668855,-34876.0,OH,FL,FL,Foreign
36,Oklahoma,1084.0,754.0,7749.0,4179.0,11672.0,4024.0,171.0,3.0,4576.0,2654.0,766.0,1278.0,505.0,2571.0,1434.0,7519.0,611.0,2162.0,596.0,1645.0,62.0,1576.0,1018.0,6402.0,1258.0,706.0,1120.0,295.0,1463.0,78.0,530.0,2773.0,1291.0,2323.0,2073.0,,629.0,1355.0,224.0,30.0,671.0,626.0,2159.0,27897.0,895.0,1727.0,107.0,2317.0,532.0,178.0,843.0,Texas,Texas,,,119111.0,98043.0,3634349.0,0.0327736824394135,0.026976770805445485,,0.005796911633968012,21068.0,OK,TX,TX,Foreign
37,Oregon,2266.0,696.0,804.0,6967.0,48791.0,4296.0,329.0,23.0,2615.0,1421.0,2227.0,600.0,6518.0,1376.0,987.0,779.0,493.0,751.0,962.0,908.0,414.0,1701.0,1496.0,1453.0,230.0,1951.0,967.0,208.0,745.0,262.0,281.0,1391.0,3701.0,2133.0,1528.0,1414.0,,1572.0,47.0,57.0,519.0,285.0,1458.0,3782.0,2855.0,1741.0,538.0,24841.0,873.0,129.0,600.0,California,Washington,,,142981.0,112609.0,3722417.0,0.03841079599625727,0.030251581163528964,,0.008159214832728304,30372.0,OR,CA,WA,Foreign
38,Pennsylvania,1060.0,1032.0,1435.0,3218.0,11405.0,1603.0,4491.0,7342.0,15862.0,5116.0,430.0,663.0,128.0,4735.0,3292.0,757.0,1743.0,1619.0,6768.0,22583.0,1439.0,3960.0,1348.0,1633.0,781.0,324.0,7575.0,225.0,794.0,1225.0,43652.0,729.0,1083.0,47061.0,12699.0,733.0,844.0,,6449.0,902.0,2874.0,201.0,2414.0,6470.0,804.0,12842.0,662.0,2162.0,1443.0,3513.0,311.0,New York,Florida,,,262434.0,241197.0,12563937.0,0.020887879332728267,0.019197565221793136,,0.001690314110935131,21237.0,PA,NY,FL,Foreign
39,Puerto Rico,0.0,99.0,0.0,58.0,1449.0,170.0,2088.0,231.0,6752.0,828.0,28.0,24.0,114.0,884.0,186.0,50.0,31.0,115.0,2424.0,385.0,0.0,254.0,26.0,69.0,0.0,0.0,37.0,0.0,0.0,27.0,3129.0,82.0,54.0,7660.0,669.0,0.0,84.0,2461.0,,104.0,116.0,0.0,28.0,1247.0,33.0,404.0,0.0,65.0,461.0,0.0,0.0,New York,Florida,,,32926.0,59975.0,3782995.0,0.008703685836222358,0.015853840673857617,,-0.007150154837635259,-27049.0,PR,NY,FL,Foreign
40,Rhode Island,111.0,57.0,0.0,443.0,1814.0,168.0,2359.0,60.0,1807.0,287.0,351.0,73.0,0.0,237.0,224.0,81.0,76.0,262.0,9134.0,574.0,402.0,324.0,81.0,162.0,21.0,0.0,733.0,0.0,0.0,1166.0,2400.0,64.0,223.0,4480.0,340.0,0.0,47.0,935.0,520.0,,436.0,34.0,235.0,379.0,135.0,940.0,246.0,353.0,40.0,41.0,23.0,Massachusetts,Massachusetts,,,32878.0,37769.0,1057315.0,0.031095747246563228,0.03572161560178377,,-0.004625868355220539,-4891.0,RI,MA,MA,Foreign
41,South Carolina,653.0,3408.0,499.0,1866.0,5453.0,1158.0,2286.0,379.0,17142.0,18142.0,1230.0,500.0,417.0,4132.0,2206.0,607.0,2353.0,2648.0,2794.0,6082.0,498.0,3401.0,1018.0,2368.0,1850.0,155.0,26947.0,45.0,327.0,854.0,5904.0,597.0,1289.0,9472.0,5020.0,1304.0,872.0,4417.0,442.0,630.0,,303.0,5538.0,7003.0,394.0,7933.0,783.0,1484.0,1109.0,1187.0,272.0,North Carolina,North Carolina,,,167371.0,116291.0,4444110.0,0.037661309013503265,0.026167444100168538,,0.011493864913334727,51080.0,SC,NC,NC,Foreign
42,South Dakota,218.0,45.0,140.0,958.0,1532.0,1405.0,9.0,0.0,699.0,355.0,178.0,3166.0,90.0,666.0,221.0,291.0,118.0,350.0,106.0,108.0,0.0,529.0,3039.0,263.0,186.0,609.0,360.0,2049.0,3227.0,0.0,96.0,548.0,406.0,265.0,380.0,202.0,677.0,250.0,162.0,32.0,125.0,,247.0,1419.0,232.0,107.0,0.0,726.0,541.0,49.0,935.0,Nebraska,Minnesota,,,28316.0,26378.0,791623.0,0.03576955192054804,0.033321416886573536,,0.002448135033974501,1938.0,SD,NE,MN,Foreign
43,Tennessee,543.0,9529.0,4207.0,2324.0,11863.0,2339.0,705.0,392.0,25049.0,17090.0,460.0,939.0,491.0,6541.0,5471.0,1288.0,10572.0,6619.0,1661.0,2577.0,493.0,5348.0,606.0,3534.0,10997.0,268.0,9408.0,0.0,358.0,295.0,2020.0,521.0,876.0,4033.0,6702.0,1678.0,991.0,3830.0,291.0,310.0,3215.0,276.0,,11565.0,684.0,6723.0,302.0,1904.0,2489.0,1057.0,226.0,Florida,Georgia,,,191660.0,157778.0,6175727.0,0.031034402913211676,0.02554808526996093,,0.005486317643250745,33882.0,TN,FL,GA,Foreign
44,Texas,5373.0,8397.0,14567.0,16044.0,80348.0,18166.0,2813.0,568.0,37486.0,17406.0,5955.0,4638.0,1642.0,20253.0,9617.0,11468.0,5442.0,78741.0,5635.0,8044.0,1129.0,13277.0,8834.0,12937.0,9870.0,1516.0,13063.0,538.0,3034.0,1731.0,9028.0,15372.0,5262.0,17655.0,13168.0,27181.0,4756.0,9222.0,2717.0,1324.0,5245.0,1797.0,8531.0,,5153.0,14597.0,211.0,11215.0,6168.0,1016.0,2558.0,California,California,,,580708.0,440322.0,23831983.0,0.02436675118474195,0.018476095757537257,,0.005890655427204693,140386.0,TX,CA,CA,Foreign
45,Utah,836.0,500.0,135.0,7298.0,22902.0,5010.0,409.0,29.0,4051.0,1077.0,923.0,341.0,7653.0,2075.0,1060.0,777.0,839.0,748.0,748.0,348.0,418.0,1377.0,908.0,1102.0,544.0,1418.0,833.0,182.0,566.0,383.0,615.0,1067.0,7099.0,1646.0,1609.0,293.0,3530.0,854.0,83.0,166.0,723.0,381.0,1128.0,5837.0,,1491.0,498.0,5168.0,1235.0,410.0,1529.0,California,California,,,100852.0,79440.0,2597746.0,0.03882288722607984,0.030580356971004863,,0.00824253025507498,21412.0,UT,CA,CA,Foreign
46,Vermont,15.0,51.0,46.0,230.0,818.0,677.0,1779.0,0.0,1714.0,252.0,102.0,0.0,37.0,301.0,87.0,0.0,54.0,64.0,3428.0,637.0,932.0,185.0,78.0,20.0,86.0,116.0,499.0,6.0,6.0,3390.0,859.0,129.0,0.0,4288.0,153.0,107.0,143.0,1103.0,0.0,190.0,134.0,0.0,51.0,495.0,23.0,936.0,,291.0,109.0,68.0,66.0,New York,New York,,,24755.0,25048.0,623481.0,0.039704497811481027,0.040174439958876054,,-0.0004699421473950277,-293.0,VT,NY,NY,Foreign
47,Virginia,3049.0,3555.0,1120.0,3159.0,17959.0,4693.0,4223.0,913.0,21017.0,9483.0,3906.0,771.0,1251.0,9975.0,2904.0,1812.0,3249.0,3502.0,4947.0,26887.0,1818.0,5138.0,1987.0,2875.0,1739.0,297.0,24408.0,191.0,1164.0,913.0,9026.0,1075.0,1137.0,19526.0,7327.0,1947.0,1586.0,14445.0,1395.0,1025.0,8196.0,153.0,7933.0,15489.0,2054.0,,900.0,4744.0,886.0,6498.0,364.0,Maryland,North Carolina,,,274611.0,249955.0,7751000.0,0.03542910592181654,0.03224809701973939,,0.003181008902077155,24656.0,VA,MD,NC,Foreign
48,Washington,5667.0,466.0,954.0,10174.0,49424.0,6511.0,1397.0,214.0,7953.0,3666.0,4659.0,2270.0,10701.0,6496.0,1781.0,1948.0,880.0,1921.0,2844.0,1781.0,785.0,3500.0,2873.0,2461.0,931.0,4310.0,3412.0,658.0,785.0,524.0,1924.0,1641.0,5418.0,4612.0,3023.0,1941.0,28474.0,2782.0,317.0,770.0,1908.0,550.0,1711.0,11780.0,4405.0,5000.0,295.0,,2193.0,167.0,535.0,California,California,,,221392.0,181050.0,6461587.0,0.034262790240230455,0.028019432377835354,,0.006243357862395101,40342.0,WA,CA,CA,Foreign
49,West Virginia,845.0,481.0,26.0,266.0,936.0,263.0,198.0,405.0,3032.0,1692.0,26.0,54.0,25.0,642.0,329.0,219.0,2217.0,387.0,338.0,5823.0,20.0,1141.0,94.0,498.0,348.0,68.0,2889.0,44.0,0.0,81.0,987.0,120.0,120.0,1331.0,9376.0,382.0,395.0,5015.0,55.0,212.0,837.0,0.0,1105.0,1515.0,133.0,7177.0,158.0,545.0,157.0,,19.0,Ohio,Ohio,,,53026.0,45404.0,1834052.0,0.02891193924708787,0.02475611378521438,,0.004155825461873489,7622.0,WV,OH,OH,Foreign
50,Wisconsin,249.0,1490.0,1170.0,2370.0,5613.0,2270.0,526.0,100.0,5068.0,1296.0,314.0,2886.0,190.0,24913.0,2171.0,802.0,577.0,1050.0,771.0,573.0,171.0,6207.0,17717.0,1807.0,472.0,188.0,1617.0,537.0,404.0,384.0,896.0,268.0,1448.0,2105.0,1654.0,474.0,917.0,1989.0,789.0,236.0,344.0,427.0,1296.0,4254.0,615.0,2120.0,89.0,1438.0,,112.0,461.0,Illinois,Minnesota,,,105835.0,116921.0,5610775.0,0.01886281306949575,0.020838654196612766,,-0.0019758411271170173,-11086.0,WI,IL,MN,Foreign
51,Wyoming,119.0,154.0,257.0,1240.0,2762.0,4802.0,10.0,0.0,596.0,88.0,168.0,253.0,737.0,295.0,177.0,392.0,188.0,252.0,128.0,255.0,183.0,765.0,403.0,494.0,416.0,1873.0,173.0,142.0,1008.0,0.0,145.0,671.0,751.0,121.0,426.0,409.0,618.0,179.0,0.0,0.0,301.0,843.0,357.0,1905.0,1399.0,217.0,0.0,866.0,393.0,17.0,,Colorado,Colorado,,,27948.0,28597.0,534876.0,0.052251362932717114,0.053464728273468994,,-0.001213365340751879,-649.0,WY,CO,CO,Foreign
