,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2006,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,392.0,,1811.0,1304.0,5984.0,1158.0,213.0,392.0,19258.0,21146.0,352.0,893.0,53.0,4666.0,3178.0,381.0,3267.0,10034.0,397.0,739.0,304.0,4128.0,333.0,2271.0,11325.0,0.0,3926.0,326.0,66.0,101.0,1035.0,311.0,181.0,3732.0,4535.0,1757.0,113.0,1277.0,301.0,0.0,1679.0,53.0,8241.0,8457.0,1387.0,2316.0,351.0,1529.0,1501.0,154.0,519.0,Georgia,Georgia,,,137827.0,101626.0,4628981.0,0.02977480356907924,0.02195429188411013,,0.007820511684969111,36201.0,AL,GA,GA,Foreign
1,Alaska,,751.0,503.0,1190.0,3353.0,968.0,498.0,0.0,940.0,1602.0,1190.0,377.0,662.0,349.0,447.0,293.0,241.0,332.0,740.0,117.0,119.0,346.0,1216.0,476.0,396.0,729.0,966.0,0.0,1087.0,62.0,153.0,14.0,1344.0,809.0,556.0,241.0,2577.0,454.0,0.0,206.0,61.0,0.0,71.0,2362.0,1483.0,1325.0,0.0,4850.0,845.0,37.0,334.0,Washington,California,,,37672.0,63115.0,675302.0,0.05578541156401136,0.09346188816262946,,-0.0376764765986181,-25443.0,AK,WA,CA,Foreign
2,Arizona,3715.0,1805.0,1163.0,,85497.0,7030.0,1392.0,589.0,7667.0,3084.0,2840.0,5035.0,4668.0,9344.0,3537.0,1714.0,2744.0,2609.0,1824.0,2763.0,1430.0,10422.0,6189.0,1583.0,1068.0,2609.0,3490.0,891.0,1991.0,1536.0,3467.0,8583.0,10495.0,7128.0,7860.0,2754.0,7224.0,5623.0,601.0,858.0,1804.0,2530.0,1776.0,17130.0,7727.0,3580.0,316.0,11774.0,4367.0,52.0,1442.0,California,California,,,287320.0,193407.0,6029141.0,0.047655213238502796,0.032078699104897364,,0.015576514133605432,93913.0,AZ,CA,CA,Foreign
3,Arkansas,751.0,2678.0,,4212.0,9141.0,1766.0,50.0,88.0,3666.0,1587.0,853.0,889.0,392.0,2814.0,866.0,2030.0,1755.0,8216.0,891.0,341.0,0.0,1961.0,1838.0,10798.0,2767.0,130.0,1496.0,138.0,554.0,51.0,1643.0,1551.0,540.0,1546.0,1706.0,8457.0,486.0,635.0,206.0,0.0,974.0,0.0,6862.0,15022.0,525.0,1157.0,153.0,1107.0,471.0,739.0,84.0,Texas,Texas,,,106583.0,75886.0,2821761.0,0.03777180278556547,0.02689313517338995,,0.010878667612175517,30697.0,AR,TX,TX,Foreign
4,California,6376.0,4133.0,3709.0,31915.0,,15885.0,5596.0,1339.0,27196.0,13384.0,14421.0,2380.0,6486.0,25149.0,6972.0,5018.0,1709.0,10561.0,13846.0,10140.0,2288.0,10693.0,5647.0,5847.0,4660.0,1874.0,10901.0,1934.0,2504.0,1323.0,8843.0,4829.0,28855.0,31703.0,13165.0,8025.0,25374.0,11747.0,2303.0,1664.0,3426.0,367.0,6469.0,49027.0,9726.0,14710.0,1658.0,34105.0,10213.0,530.0,1739.0,Texas,Arizona,,,522364.0,744004.0,36021202.0,0.014501570491734285,0.020654613357988443,,-0.006153042866254158,-221640.0,CA,TX,AZ,Foreign
5,Colorado,1821.0,1285.0,893.0,13714.0,34803.0,,675.0,345.0,10327.0,3039.0,2351.0,2447.0,1328.0,6728.0,1433.0,4667.0,209.0,2246.0,3951.0,2275.0,718.0,3531.0,3785.0,2856.0,1369.0,1517.0,4152.0,590.0,5722.0,405.0,1650.0,5922.0,2815.0,3920.0,4921.0,3708.0,4133.0,3490.0,0.0,508.0,531.0,1139.0,1057.0,16928.0,4678.0,4371.0,494.0,5839.0,2303.0,155.0,6646.0,California,Texas,,,194390.0,163184.0,4720423.0,0.04118063148154307,0.03456978325883083,,0.00661084822271224,31206.0,CO,CA,TX,Foreign
6,Connecticut,0.0,496.0,0.0,262.0,2727.0,660.0,,160.0,6999.0,1299.0,320.0,113.0,0.0,1607.0,236.0,301.0,199.0,269.0,11956.0,1363.0,1030.0,932.0,353.0,485.0,0.0,49.0,2542.0,0.0,487.0,945.0,5064.0,147.0,55.0,24838.0,1941.0,101.0,440.0,2425.0,2448.0,3963.0,1688.0,41.0,362.0,3882.0,654.0,2458.0,1108.0,593.0,160.0,76.0,0.0,New York,New York,,,88234.0,111720.0,3517460.0,0.02508457807622546,0.031761555213136755,,-0.006676977136911295,-23486.0,CT,NY,NY,Foreign
7,Delaware,0.0,0.0,204.0,55.0,325.0,160.0,589.0,,1613.0,979.0,0.0,136.0,0.0,571.0,391.0,0.0,99.0,136.0,301.0,7065.0,283.0,211.0,0.0,239.0,375.0,0.0,614.0,0.0,28.0,87.0,5245.0,0.0,53.0,1523.0,291.0,0.0,54.0,7588.0,0.0,413.0,135.0,0.0,176.0,292.0,70.0,893.0,0.0,207.0,0.0,203.0,0.0,Pennsylvania,Pennsylvania,,,31604.0,29131.0,859268.0,0.03678014309854434,0.03390211203023969,,0.0028780310683046498,2473.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570681.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,4995.0,13015.0,3232.0,6030.0,27658.0,9275.0,13989.0,1685.0,,34679.0,4274.0,2818.0,1358.0,26188.0,13454.0,2274.0,8999.0,15995.0,27188.0,14340.0,5652.0,30983.0,3950.0,8085.0,13291.0,713.0,23862.0,402.0,1390.0,3284.0,36055.0,2131.0,4163.0,87576.0,21113.0,1783.0,2323.0,21007.0,20687.0,2071.0,9728.0,422.0,12387.0,30708.0,2250.0,19783.0,2404.0,5452.0,9286.0,3592.0,389.0,New York,Georgia,,,618368.0,540317.0,18166990.0,0.034037999690647705,0.029741690835961267,,0.004296308854686438,78051.0,FL,NY,GA,Foreign
10,Georgia,2232.0,14873.0,2851.0,5024.0,24662.0,3450.0,5580.0,2081.0,75182.0,,1120.0,2568.0,457.0,13676.0,6948.0,1862.0,4506.0,19472.0,5068.0,6731.0,1269.0,5167.0,2945.0,5232.0,5336.0,1159.0,17226.0,295.0,1547.0,845.0,9684.0,337.0,2120.0,26759.0,8254.0,3337.0,1198.0,8690.0,1480.0,778.0,16774.0,634.0,14737.0,16121.0,711.0,12772.0,542.0,3886.0,4028.0,3206.0,380.0,Florida,Florida,,,375792.0,233360.0,9155813.0,0.04104408860250859,0.025487632829547743,,0.015556455772960848,142432.0,GA,FL,FL,Foreign
11,Hawaii,2906.0,332.0,0.0,1718.0,14459.0,2254.0,627.0,0.0,2456.0,2250.0,,148.0,0.0,1996.0,351.0,496.0,705.0,238.0,506.0,459.0,443.0,193.0,529.0,284.0,251.0,461.0,1785.0,0.0,46.0,500.0,745.0,989.0,1383.0,2654.0,674.0,744.0,1487.0,1956.0,0.0,425.0,560.0,201.0,666.0,4405.0,288.0,3423.0,0.0,3212.0,257.0,0.0,101.0,California,California,,,60563.0,72210.0,1309731.0,0.04624079295672165,0.055133458702588546,,-0.008892665745866897,-11647.0,HI,CA,CA,Foreign
12,Idaho,995.0,170.0,225.0,3178.0,13537.0,3428.0,58.0,0.0,1428.0,111.0,786.0,2416.0,,607.0,86.0,582.0,382.0,93.0,0.0,177.0,83.0,488.0,875.0,807.0,483.0,3386.0,273.0,247.0,162.0,471.0,0.0,203.0,3058.0,273.0,1356.0,337.0,7136.0,585.0,0.0,6.0,39.0,837.0,491.0,5042.0,5921.0,952.0,0.0,12195.0,319.0,70.0,1047.0,California,Washington,,,75401.0,58542.0,1468669.0,0.05133968239269706,0.03986058124737432,,0.011479101145322738,16859.0,ID,CA,WA,Foreign
13,Illinois,1742.0,1286.0,2309.0,5924.0,15322.0,5901.0,2771.0,460.0,17271.0,3854.0,1609.0,7544.0,2069.0,,20749.0,3225.0,4288.0,2956.0,2317.0,2936.0,308.0,14740.0,5186.0,17787.0,2390.0,265.0,4031.0,324.0,1624.0,297.0,3058.0,865.0,2075.0,7523.0,7612.0,1104.0,1709.0,4369.0,3157.0,423.0,2620.0,372.0,5164.0,14431.0,723.0,6401.0,546.0,5358.0,16802.0,637.0,37.0,Indiana,Indiana,,,236471.0,321512.0,12643955.0,0.01870229686834539,0.02542811960339941,,-0.0067258227350540205,-85041.0,IL,IN,IN,Foreign
