,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2005,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,608.0,,3168.0,574.0,3025.0,1922.0,321.0,563.0,15641.0,17776.0,753.0,375.0,162.0,3410.0,1705.0,397.0,1712.0,4887.0,361.0,1653.0,24.0,2878.0,58.0,1768.0,10093.0,0.0,1512.0,80.0,409.0,461.0,951.0,540.0,709.0,3222.0,2099.0,2347.0,81.0,753.0,161.0,0.0,2426.0,0.0,9037.0,7532.0,200.0,2572.0,163.0,1324.0,303.0,432.0,436.0,Georgia,Georgia,,,111584.0,97191.0,4569805.0,0.024417672088852805,0.021268084743222084,,0.003149587345630721,14393.0,AL,GA,GA,Foreign
1,Alaska,,152.0,54.0,883.0,3898.0,1791.0,0.0,0.0,940.0,816.0,284.0,96.0,735.0,578.0,235.0,700.0,119.0,62.0,148.0,203.0,37.0,486.0,637.0,243.0,1517.0,121.0,579.0,133.0,148.0,444.0,109.0,395.0,485.0,462.0,35.0,327.0,1461.0,216.0,261.0,0.0,653.0,373.0,167.0,1835.0,1241.0,618.0,0.0,5711.0,765.0,0.0,222.0,Washington,Washington,,,31375.0,53714.0,666946.0,0.04704278907137909,0.08053725489020101,,-0.03349446581882192,-22339.0,AK,WA,WA,Foreign
2,Arizona,1836.0,1427.0,1845.0,,94296.0,11512.0,1809.0,240.0,7184.0,630.0,1216.0,1551.0,2940.0,11523.0,3724.0,1917.0,949.0,1577.0,2213.0,3119.0,401.0,8529.0,4569.0,2364.0,1323.0,1689.0,2935.0,1314.0,2716.0,809.0,4790.0,11561.0,10080.0,6756.0,5640.0,2264.0,5572.0,5993.0,0.0,594.0,1474.0,841.0,4889.0,17452.0,7086.0,4196.0,315.0,10335.0,7798.0,527.0,1458.0,California,California,,,287778.0,157054.0,5839077.0,0.04928484416287026,0.026897059244123687,,0.022387784918746573,130724.0,AZ,CA,CA,Foreign
3,Arkansas,660.0,1894.0,,1266.0,6167.0,1999.0,66.0,0.0,5223.0,1082.0,522.0,394.0,171.0,3618.0,1417.0,1269.0,639.0,6515.0,1421.0,43.0,16.0,973.0,496.0,9701.0,4238.0,73.0,838.0,136.0,590.0,0.0,483.0,1108.0,431.0,957.0,794.0,8670.0,788.0,695.0,33.0,0.0,1770.0,337.0,5090.0,19937.0,293.0,1355.0,0.0,1062.0,1542.0,59.0,41.0,Texas,Texas,,,96872.0,66074.0,2781097.0,0.03483229819024651,0.02375825079096486,,0.01107404739928165,30798.0,AR,TX,TX,Foreign
4,California,5274.0,4375.0,2481.0,28156.0,,14321.0,7248.0,807.0,25252.0,9788.0,10706.0,4766.0,5123.0,15848.0,5611.0,4922.0,2829.0,7383.0,11032.0,6634.0,1056.0,10073.0,6502.0,8504.0,2660.0,2605.0,16462.0,1449.0,3463.0,1109.0,11816.0,6141.0,28299.0,26079.0,7969.0,3153.0,17194.0,9637.0,494.0,1714.0,2311.0,1378.0,3790.0,36030.0,11421.0,15780.0,656.0,29727.0,3958.0,329.0,1425.0,Texas,Arizona,,,445740.0,716069.0,35827943.0,0.012441127306694666,0.019986327431636253,,-0.007545200124941587,-270329.0,CA,TX,AZ,Foreign
5,Colorado,2392.0,1495.0,1218.0,7018.0,25350.0,,565.0,123.0,8463.0,3072.0,494.0,1610.0,1383.0,3889.0,2503.0,4531.0,1451.0,1681.0,2089.0,1969.0,655.0,1163.0,3183.0,3409.0,1304.0,2695.0,4607.0,1074.0,5204.0,1508.0,757.0,6547.0,3731.0,6458.0,2870.0,2481.0,2478.0,4581.0,58.0,368.0,1023.0,1978.0,2384.0,14916.0,5138.0,3260.0,127.0,3650.0,3498.0,539.0,5690.0,California,Texas,,,168630.0,152253.0,4631888.0,0.03640632070550929,0.03287061345179331,,0.003535707253715978,16377.0,CO,CA,TX,Foreign
6,Connecticut,310.0,520.0,0.0,49.0,3979.0,887.0,,186.0,5265.0,752.0,363.0,75.0,0.0,1841.0,395.0,655.0,326.0,94.0,7492.0,2233.0,541.0,1332.0,52.0,341.0,55.0,143.0,1735.0,0.0,109.0,1654.0,3485.0,0.0,387.0,26319.0,1463.0,0.0,200.0,3278.0,791.0,3646.0,477.0,0.0,366.0,1612.0,42.0,1656.0,2016.0,634.0,50.0,140.0,0.0,New York,Florida,,,77946.0,85809.0,3506956.0,0.022226112902471545,0.024468228286867587,,-0.002242115384396042,-7863.0,CT,NY,FL,Foreign
7,Delaware,337.0,546.0,344.0,216.0,933.0,211.0,13.0,,1984.0,600.0,0.0,0.0,222.0,688.0,21.0,82.0,157.0,23.0,320.0,7714.0,0.0,622.0,89.0,105.0,0.0,0.0,380.0,0.0,44.0,0.0,2723.0,0.0,0.0,4544.0,450.0,163.0,198.0,8637.0,527.0,487.0,0.0,0.0,513.0,184.0,140.0,1056.0,0.0,0.0,0.0,254.0,0.0,Pennsylvania,Pennsylvania,,,35527.0,22430.0,845150.0,0.042036324912737386,0.02653966751464237,,0.015496657398095016,13097.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567136.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,2932.0,10559.0,3300.0,5962.0,29152.0,8002.0,12609.0,1441.0,,42557.0,2055.0,3725.0,608.0,18400.0,17746.0,1252.0,7941.0,9324.0,24999.0,19832.0,5537.0,24999.0,11224.0,7286.0,5514.0,1232.0,29292.0,439.0,1263.0,7186.0,34417.0,1404.0,2840.0,98535.0,39164.0,3604.0,997.0,28311.0,11865.0,6904.0,10906.0,468.0,12140.0,25297.0,1605.0,26671.0,1341.0,5337.0,9295.0,3771.0,873.0,New York,Georgia,,,642113.0,449462.0,17842038.0,0.03598876989276673,0.025191180514243943,,0.01079758937852279,192651.0,FL,NY,GA,Foreign
