,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2017,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
31,New Mexico,1470.0,770.0,258.0,7129.0,6897.0,3578.0,0.0,0.0,1029.0,413.0,509.0,484.0,608.0,1297.0,1177.0,134.0,194.0,884.0,349.0,935.0,0.0,495.0,307.0,611.0,421.0,982.0,261.0,215.0,261.0,77.0,196.0,,1008.0,886.0,579.0,630.0,544.0,412.0,131.0,291.0,730.0,100.0,431.0,16356.0,411.0,1694.0,0.0,563.0,274.0,0.0,267.0,0.0,Texas,Texas,,,57248.0,67090.0,2091784.0,0.02736802652663946,0.03207310123798633,,-0.00470507471134687,-9842.0,NM,TX,TX,Foreign
32,New York,1049.0,1849.0,1209.0,3826.0,24982.0,3104.0,17340.0,1203.0,28145.0,11328.0,1740.0,2050.0,1088.0,6879.0,2657.0,1381.0,1216.0,1416.0,14775.0,8499.0,1611.0,3088.0,1973.0,4014.0,758.0,597.0,12000.0,449.0,98.0,1997.0,34953.0,615.0,2273.0,,7863.0,2015.0,1658.0,25006.0,5910.0,2654.0,6044.0,125.0,4072.0,10058.0,334.0,10677.0,2929.0,5529.0,1269.0,402.0,54.0,1325.0,New Jersey,Florida,,,288086.0,450605.0,19589572.0,0.01470608954600948,0.023002289177119335,,-0.008296199631109856,-162519.0,NY,NJ,FL,Foreign
33,North Carolina,1401.0,4526.0,747.0,5624.0,22469.0,4021.0,5780.0,1186.0,33594.0,16892.0,1463.0,978.0,97.0,6013.0,4392.0,1590.0,1531.0,3491.0,7605.0,10899.0,1014.0,5404.0,2769.0,4394.0,1723.0,433.0,,571.0,259.0,273.0,11559.0,1047.0,1758.0,27031.0,11359.0,1260.0,1778.0,12542.0,3011.0,234.0,28508.0,12.0,8416.0,14655.0,623.0,27833.0,524.0,5896.0,1895.0,3423.0,159.0,385.0,Florida,South Carolina,,,315047.0,241433.0,10268233.0,0.03068171515001656,0.02351261409825819,,0.007169101051758369,73614.0,NC,FL,SC,Foreign
34,North Dakota,152.0,53.0,48.0,564.0,4051.0,995.0,0.0,167.0,1255.0,58.0,292.0,652.0,858.0,302.0,74.0,96.0,26.0,214.0,135.0,95.0,0.0,709.0,13844.0,0.0,372.0,1071.0,0.0,,517.0,0.0,232.0,89.0,16.0,247.0,33.0,224.0,716.0,1070.0,664.0,0.0,546.0,1653.0,478.0,1678.0,247.0,434.0,0.0,1362.0,861.0,0.0,829.0,0.0,Minnesota,Minnesota,,,37979.0,37339.0,754942.0,0.050307175915500796,0.04945942867134164,,0.0008477472441591541,640.0,ND,MN,MN,Foreign
35,Ohio,79.0,2487.0,683.0,3143.0,11286.0,3209.0,2478.0,406.0,15843.0,6133.0,285.0,1687.0,660.0,9676.0,10007.0,2169.0,15435.0,823.0,3030.0,4416.0,369.0,11424.0,1362.0,2515.0,573.0,439.0,7847.0,350.0,619.0,692.0,3252.0,525.0,847.0,13157.0,,936.0,854.0,15666.0,3765.0,177.0,3714.0,26.0,6127.0,12108.0,2100.0,5224.0,364.0,2960.0,2011.0,7343.0,248.0,267.0,Florida,Florida,,,201796.0,206865.0,11659650.0,0.017307209050014365,0.017741956233677685,,-0.0004347471836633199,-5069.0,OH,FL,FL,Foreign
36,Oklahoma,1004.0,1133.0,6835.0,1931.0,7174.0,3474.0,99.0,0.0,4233.0,2164.0,129.0,1301.0,338.0,1959.0,1303.0,8159.0,1363.0,2393.0,248.0,982.0,48.0,257.0,1083.0,3209.0,1539.0,594.0,1483.0,98.0,144.0,45.0,231.0,1899.0,801.0,1930.0,1143.0,,841.0,611.0,386.0,216.0,797.0,27.0,2337.0,32430.0,204.0,921.0,37.0,2018.0,509.0,0.0,251.0,96.0,Texas,Texas,,,102407.0,96005.0,3931316.0,0.0260490380320483,0.024420575705438076,,0.0016284623266102256,6402.0,OK,TX,TX,Foreign
37,Oregon,2808.0,179.0,526.0,6938.0,50109.0,3185.0,355.0,85.0,3266.0,1308.0,2671.0,549.0,4444.0,4110.0,750.0,1298.0,129.0,1461.0,822.0,1384.0,204.0,1642.0,930.0,1637.0,367.0,1004.0,955.0,461.0,368.0,266.0,475.0,1046.0,2802.0,2491.0,874.0,1121.0,,1138.0,0.0,159.0,415.0,576.0,1115.0,7049.0,4103.0,3566.0,308.0,26150.0,1370.0,257.0,227.0,220.0,California,Washington,,,149673.0,109417.0,4143625.0,0.0361212706265649,0.026406105764879784,,0.009715164861685117,40256.0,OR,CA,WA,Foreign
38,Pennsylvania,294.0,1416.0,292.0,3266.0,10995.0,2786.0,3937.0,8913.0,17094.0,5249.0,1639.0,592.0,442.0,5047.0,3667.0,449.0,2136.0,1050.0,6074.0,19880.0,1156.0,3312.0,1630.0,936.0,1615.0,71.0,8950.0,406.0,447.0,1715.0,39487.0,760.0,1341.0,40272.0,11234.0,679.0,1325.0,,7783.0,1055.0,4570.0,652.0,2249.0,7226.0,1182.0,8417.0,1853.0,3199.0,1696.0,4128.0,0.0,378.0,New York,Florida,,,254942.0,254753.0,12787641.0,0.01993659346551878,0.01992181356983669,,1.4779895682090483e-05,189.0,PA,NY,FL,Foreign
39,Puerto Rico,5.0,888.0,0.0,108.0,1567.0,0.0,1300.0,301.0,2334.0,374.0,0.0,118.0,0.0,171.0,595.0,0.0,9.0,0.0,1147.0,0.0,0.0,96.0,0.0,779.0,0.0,0.0,94.0,0.0,145.0,14.0,618.0,0.0,0.0,3263.0,1412.0,0.0,0.0,1943.0,,901.0,209.0,0.0,0.0,1235.0,0.0,541.0,0.0,0.0,0.0,0.0,0.0,97.0,New York,Florida,,,20264.0,97132.0,3325286.0,0.006093911922162485,0.029210119069457485,,-0.023116207147295,-76868.0,PR,NY,FL,Foreign
40,Rhode Island,109.0,135.0,175.0,101.0,2418.0,425.0,3194.0,0.0,4010.0,917.0,59.0,66.0,34.0,207.0,247.0,0.0,0.0,281.0,11929.0,259.0,436.0,193.0,0.0,154.0,166.0,423.0,271.0,0.0,0.0,492.0,2331.0,77.0,0.0,2273.0,99.0,0.0,0.0,497.0,306.0,,202.0,0.0,295.0,980.0,211.0,1643.0,93.0,1215.0,233.0,0.0,0.0,0.0,Massachusetts,Massachusetts,,,37156.0,30771.0,1055673.0,0.03519650497834083,0.029148230560031373,,0.006048274418309456,6385.0,RI,MA,MA,Foreign
