,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2013,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1026.0,,1108.0,1077.0,4918.0,698.0,439.0,0.0,11518.0,17867.0,718.0,699.0,222.0,3126.0,1303.0,566.0,2498.0,1429.0,972.0,960.0,52.0,2801.0,487.0,1501.0,7706.0,537.0,5663.0,148.0,173.0,0.0,743.0,1838.0,569.0,2735.0,3678.0,669.0,228.0,1488.0,312.0,121.0,1795.0,318.0,8806.0,4413.0,1881.0,3303.0,19.0,589.0,296.0,109.0,282.0,14460.0,156.0,Georgia,Georgia,Georgia,104560.0,119020.0,97196.0,4830081.0,0.02464140870515422,0.02012305797770265,0.021647670090832846,0.0015246121131301943,7364.0,AL,GA,GA,GA
1,Alaska,,572.0,403.0,733.0,2874.0,2359.0,22.0,0.0,781.0,1808.0,257.0,31.0,555.0,2012.0,775.0,984.0,206.0,167.0,95.0,528.0,44.0,563.0,111.0,876.0,140.0,195.0,2744.0,95.0,0.0,16.0,233.0,620.0,469.0,694.0,734.0,318.0,1264.0,1074.0,184.0,0.0,354.0,54.0,570.0,2477.0,1363.0,727.0,6.0,2984.0,216.0,257.0,0.0,6872.0,25.0,Foreign Country,Florida,Washington,34569.0,41441.0,99352.0,737068.0,0.056224120433935536,0.13479353329679217,0.04690069301611249,-0.08789284028067967,-64783.0,AK,Foreign,FL,WA
2,Arizona,4418.0,2140.0,310.0,,47959.0,8325.0,1029.0,534.0,6828.0,2647.0,2776.0,2680.0,3563.0,7264.0,3688.0,1818.0,885.0,1478.0,1331.0,1812.0,881.0,8099.0,5618.0,2768.0,500.0,2087.0,2583.0,906.0,2749.0,462.0,3817.0,6526.0,9442.0,6846.0,3692.0,1701.0,9331.0,5726.0,376.0,464.0,2045.0,1508.0,3292.0,17742.0,9093.0,3771.0,306.0,14756.0,5694.0,188.0,1838.0,43949.0,386.0,California,California,California,236678.0,280627.0,183191.0,6632764.0,0.042309209252733855,0.027619104192460338,0.0356831631579233,0.008064058965462965,53487.0,AZ,CA,CA,CA
3,Arkansas,1193.0,0.0,,661.0,4925.0,1557.0,870.0,0.0,1751.0,2870.0,118.0,949.0,251.0,3117.0,999.0,1650.0,1915.0,4467.0,0.0,1281.0,0.0,429.0,289.0,5273.0,1422.0,41.0,542.0,0.0,137.0,361.0,437.0,209.0,348.0,1034.0,1836.0,8892.0,786.0,244.0,8.0,30.0,339.0,94.0,4285.0,12937.0,237.0,514.0,0.0,520.0,331.0,150.0,0.0,9182.0,187.0,Texas,Texas,Texas,70486.0,79668.0,76963.0,2959400.0,0.02692032168682841,0.02600628505778198,0.023817665743056025,-0.0021886193147259564,-6477.0,AR,TX,TX,TX
4,California,8457.0,2958.0,3687.0,36567.0,,16151.0,5145.0,300.0,25950.0,11773.0,13610.0,3563.0,6192.0,19961.0,8799.0,4680.0,3895.0,3764.0,12947.0,9781.0,1104.0,9172.0,7376.0,7146.0,2450.0,3147.0,10858.0,710.0,1262.0,1198.0,10498.0,6290.0,29897.0,30704.0,6742.0,3717.0,20128.0,11426.0,3179.0,1658.0,7283.0,981.0,7020.0,32290.0,12631.0,12810.0,1029.0,37246.0,4704.0,967.0,1030.0,286623.0,1646.0,Foreign Country,Texas,Washington,486479.0,773102.0,579965.0,38260787.0,0.02020611860388549,0.015158208847089318,0.012714819483457044,-0.0024433893636322743,-93486.0,CA,Foreign,TX,WA
5,Colorado,1606.0,2926.0,1235.0,8798.0,23714.0,,861.0,551.0,9448.0,6671.0,1363.0,2868.0,2542.0,7528.0,2197.0,6545.0,2287.0,2374.0,2194.0,2920.0,881.0,2718.0,3754.0,6317.0,1168.0,2636.0,4858.0,974.0,3457.0,536.0,1426.0,5968.0,2498.0,7848.0,4566.0,5138.0,2793.0,3773.0,686.0,522.0,1312.0,1651.0,2295.0,23490.0,6240.0,6980.0,689.0,6173.0,2623.0,246.0,4307.0,33113.0,507.0,Foreign Country,Texas,California,207658.0,240771.0,166011.0,5269035.0,0.0456954641599458,0.031506907811392405,0.039411011693792124,0.007904103882399718,41647.0,CO,Foreign,TX,CA
6,Connecticut,1688.0,337.0,0.0,1791.0,4206.0,1066.0,,1332.0,5768.0,2303.0,398.0,0.0,0.0,2040.0,305.0,210.0,70.0,24.0,7645.0,1228.0,366.0,1193.0,775.0,339.0,57.0,60.0,1806.0,0.0,0.0,2547.0,5504.0,197.0,122.0,23051.0,1156.0,65.0,271.0,6571.0,2761.0,3607.0,1609.0,0.0,1139.0,1997.0,433.0,2665.0,621.0,672.0,435.0,183.0,132.0,18531.0,0.0,New York,New York,New York,90745.0,109276.0,91205.0,3594841.0,0.03039800647650341,0.02537108038992545,0.025243119236706156,-0.00012796115321929424,-460.0,CT,NY,NY,NY
7,Delaware,272.0,0.0,0.0,0.0,810.0,74.0,602.0,,1034.0,926.0,0.0,0.0,0.0,156.0,0.0,0.0,180.0,213.0,94.0,7932.0,53.0,171.0,204.0,477.0,404.0,0.0,1374.0,0.0,131.0,0.0,4520.0,258.0,0.0,3527.0,453.0,91.0,0.0,10778.0,0.0,0.0,532.0,0.0,163.0,240.0,0.0,776.0,0.0,0.0,0.0,53.0,0.0,4594.0,0.0,Pennsylvania,Pennsylvania,Pennsylvania,36498.0,41092.0,24512.0,923576.0,0.04449227784178021,0.026540317201832874,0.03951813386229179,0.012977816660458916,11986.0,DE,PA,PA,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650581.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,10876.0,10281.0,1577.0,7553.0,26690.0,7608.0,8709.0,1969.0,,35386.0,1009.0,4597.0,1541.0,19973.0,14148.0,4171.0,7592.0,6856.0,19621.0,12022.0,2995.0,19860.0,5576.0,10754.0,6919.0,576.0,29097.0,50.0,2228.0,4987.0,30914.0,2164.0,3508.0,55419.0,22597.0,4386.0,1816.0,28771.0,21245.0,3201.0,11074.0,533.0,13232.0,24226.0,2129.0,18132.0,1434.0,6975.0,7321.0,4250.0,341.0,150240.0,2688.0,Foreign Country,Georgia,New York,551577.0,701817.0,428926.0,19545621.0,0.0359066104883544,0.02194486427420239,0.028219978275440826,0.006275114001238435,122651.0,FL,Foreign,GA,NY
