,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2009,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1491.0,,649.0,1086.0,4755.0,1056.0,318.0,467.0,18554.0,23442.0,1041.0,315.0,399.0,2826.0,3269.0,442.0,2067.0,4161.0,327.0,2044.0,268.0,4688.0,657.0,1387.0,8767.0,226.0,5090.0,12.0,411.0,90.0,1630.0,542.0,508.0,3517.0,2925.0,1083.0,142.0,1537.0,607.0,211.0,2005.0,25.0,8523.0,8325.0,508.0,4418.0,13.0,1224.0,856.0,218.0,258.0,Georgia,Georgia,,,129380.0,107497.0,4757938.0,0.02719245185624529,0.02259319057961663,,0.004599261276628658,21883.0,AL,GA,GA,Foreign
1,Alaska,,1290.0,277.0,1858.0,4220.0,1533.0,113.0,102.0,1658.0,1693.0,869.0,164.0,761.0,395.0,401.0,226.0,250.0,829.0,242.0,642.0,217.0,1004.0,889.0,1001.0,111.0,1018.0,578.0,130.0,120.0,6.0,158.0,346.0,256.0,619.0,690.0,735.0,1849.0,822.0,97.0,14.0,955.0,199.0,855.0,2762.0,575.0,783.0,0.0,3300.0,718.0,10.0,193.0,California,Texas,,,38533.0,69285.0,698895.0,0.05513417609225992,0.09913506320691949,,-0.04400088711465957,-30752.0,AK,CA,TX,Foreign
2,Arizona,2364.0,1193.0,1462.0,,54826.0,9602.0,1180.0,299.0,7052.0,4366.0,3129.0,2804.0,2515.0,10490.0,4963.0,2527.0,1212.0,1564.0,3433.0,1825.0,976.0,11375.0,7988.0,4795.0,531.0,1543.0,4644.0,1041.0,2328.0,701.0,2908.0,8163.0,9308.0,6292.0,6498.0,2229.0,6699.0,4544.0,239.0,495.0,1252.0,1051.0,1688.0,12492.0,6646.0,3909.0,150.0,10903.0,3573.0,656.0,1393.0,California,California,,,243816.0,191550.0,6343154.0,0.03843766050769065,0.030197911007678515,,0.008239749500012137,52266.0,AZ,CA,CA,Foreign
3,Arkansas,422.0,1154.0,,1755.0,6032.0,1715.0,225.0,0.0,3213.0,1051.0,420.0,572.0,427.0,3126.0,964.0,2183.0,955.0,4230.0,370.0,740.0,159.0,2116.0,1719.0,7116.0,3407.0,96.0,925.0,35.0,614.0,489.0,306.0,936.0,1806.0,1143.0,876.0,7355.0,682.0,317.0,234.0,0.0,955.0,97.0,5484.0,17584.0,644.0,977.0,0.0,1105.0,1263.0,189.0,301.0,Texas,Texas,,,88484.0,76448.0,2896843.0,0.030544976030803188,0.026390108128055267,,0.004154867902747921,12036.0,AR,TX,TX,Foreign
4,California,5166.0,2802.0,3915.0,34725.0,,19332.0,5422.0,399.0,22890.0,10725.0,12769.0,3179.0,6334.0,20963.0,6202.0,3931.0,2664.0,4530.0,12096.0,9441.0,1529.0,11769.0,7164.0,8892.0,3177.0,2755.0,11277.0,586.0,2489.0,1337.0,7727.0,6327.0,31144.0,27086.0,9036.0,3311.0,19310.0,10501.0,1189.0,1176.0,3818.0,748.0,7106.0,37642.0,11901.0,14443.0,715.0,29501.0,5591.0,773.0,1354.0,Texas,Texas,,,468859.0,603872.0,36961229.0,0.012685157195395208,0.016337984865167767,,-0.0036528276697725594,-135013.0,CA,TX,TX,Foreign
5,Colorado,2123.0,1595.0,1971.0,10858.0,27263.0,,1551.0,253.0,8945.0,4310.0,1691.0,2141.0,1600.0,5969.0,3730.0,5476.0,1060.0,2011.0,3069.0,1977.0,624.0,3933.0,4025.0,4726.0,609.0,1683.0,3972.0,999.0,3859.0,493.0,2123.0,6792.0,4772.0,4146.0,3770.0,3906.0,3888.0,2953.0,181.0,704.0,1998.0,990.0,2013.0,19912.0,4893.0,4323.0,348.0,4256.0,3078.0,484.0,4236.0,California,California,,,192282.0,165984.0,4972195.0,0.03867145194426204,0.03338243974743549,,0.005289012196826551,26298.0,CO,CA,CA,Foreign
6,Connecticut,749.0,793.0,81.0,654.0,3902.0,1362.0,,237.0,6402.0,1867.0,263.0,280.0,125.0,1502.0,602.0,364.0,323.0,241.0,9629.0,1936.0,888.0,1079.0,352.0,173.0,93.0,27.0,1802.0,23.0,114.0,2099.0,3973.0,85.0,301.0,20376.0,1064.0,81.0,87.0,2677.0,3687.0,2356.0,821.0,24.0,513.0,1855.0,335.0,2414.0,1039.0,1033.0,549.0,46.0,235.0,New York,New York,,,81513.0,97062.0,3561807.0,0.022885293897170735,0.027250774677010856,,-0.004365480779840121,-15549.0,CT,NY,NY,Foreign
7,Delaware,172.0,256.0,0.0,358.0,698.0,350.0,645.0,,1442.0,662.0,0.0,16.0,0.0,637.0,473.0,139.0,17.0,283.0,1648.0,6323.0,55.0,346.0,67.0,104.0,154.0,0.0,772.0,148.0,24.0,202.0,4438.0,138.0,299.0,3442.0,382.0,50.0,23.0,9574.0,395.0,110.0,455.0,19.0,127.0,913.0,161.0,2419.0,7.0,177.0,75.0,85.0,74.0,Pennsylvania,Pennsylvania,,,39354.0,29737.0,891730.0,0.04413219247978648,0.03334753793188521,,0.01078465454790127,9617.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592228.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,6457.0,11933.0,2865.0,4989.0,20634.0,10122.0,11111.0,2044.0,,37263.0,2182.0,2024.0,1335.0,17437.0,14220.0,2688.0,7272.0,5854.0,17627.0,10720.0,4328.0,20337.0,4699.0,5834.0,5024.0,605.0,20955.0,500.0,962.0,3667.0,22335.0,1725.0,2872.0,58520.0,22220.0,3475.0,2842.0,23300.0,16517.0,3211.0,8664.0,1069.0,11111.0,23494.0,1972.0,21498.0,1714.0,7329.0,6241.0,3284.0,502.0,New York,Georgia,,,499583.0,500075.0,18652644.0,0.026783495144173664,0.02680987210177817,,-2.6376957604507673e-05,-492.0,FL,NY,GA,Foreign
