,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2011,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1771.0,,1642.0,1677.0,3389.0,348.0,2921.0,232.0,20063.0,19346.0,1259.0,30.0,137.0,6991.0,1434.0,842.0,2686.0,2413.0,112.0,1606.0,626.0,2797.0,327.0,1086.0,3945.0,317.0,2697.0,284.0,770.0,64.0,1996.0,119.0,257.0,1108.0,2596.0,973.0,169.0,1075.0,569.0,0.0,2036.0,90.0,8710.0,7973.0,300.0,4935.0,66.0,2621.0,417.0,65.0,9.0,14248.0,0.0,Florida,Georgia,Florida,117896.0,132144.0,106828.0,4799069.0,0.027535340708791642,0.022260150875096817,0.024566431530782324,0.0023062806556855067,11068.0,AL,FL,GA,FL
1,Alaska,,93.0,190.0,2467.0,3098.0,1583.0,138.0,11.0,1188.0,556.0,1366.0,319.0,475.0,985.0,181.0,750.0,237.0,1077.0,141.0,216.0,0.0,771.0,593.0,921.0,554.0,248.0,470.0,0.0,5.0,520.0,128.0,226.0,532.0,940.0,319.0,616.0,2161.0,378.0,1044.0,0.0,186.0,301.0,388.0,2492.0,662.0,1488.0,68.0,4548.0,23.0,89.0,246.0,3697.0,0.0,Washington,Florida,Washington,35988.0,39685.0,89093.0,722128.0,0.054955631134646486,0.12337563423658963,0.049836040148007,-0.07353959408858263,-53105.0,AK,WA,FL,WA
2,Arizona,5001.0,833.0,1066.0,,49635.0,10189.0,1875.0,0.0,3732.0,2206.0,2199.0,4526.0,2190.0,10035.0,5855.0,1708.0,2134.0,844.0,743.0,1918.0,0.0,9396.0,3297.0,3872.0,1226.0,2431.0,2548.0,1159.0,1393.0,228.0,3379.0,4610.0,8756.0,3880.0,4682.0,3219.0,4613.0,3436.0,871.0,72.0,1774.0,1657.0,1680.0,12688.0,10577.0,2233.0,0.0,13940.0,6473.0,70.0,2510.0,42569.0,122.0,California,California,California,223481.0,266050.0,212002.0,6472643.0,0.04110376549425018,0.03275354441763589,0.034527008518776645,0.0017734641011407579,11479.0,AZ,CA,CA,CA
3,Arkansas,560.0,691.0,,439.0,4077.0,746.0,519.0,79.0,3067.0,1446.0,13.0,851.0,179.0,3684.0,1362.0,2008.0,213.0,2120.0,781.0,133.0,30.0,1881.0,232.0,7314.0,1731.0,713.0,1664.0,214.0,332.0,52.0,341.0,775.0,641.0,674.0,174.0,3761.0,632.0,567.0,529.0,0.0,235.0,0.0,6462.0,14767.0,0.0,1245.0,0.0,1477.0,687.0,24.0,252.0,8635.0,46.0,Texas,Texas,Texas,70420.0,79055.0,77145.0,2940667.0,0.026883356735053647,0.026233844226496914,0.02394694809034821,-0.0022868961361487035,-6725.0,AR,TX,TX,TX
4,California,7358.0,2087.0,2648.0,35650.0,,21245.0,3073.0,1302.0,22094.0,13303.0,9864.0,3324.0,4796.0,20834.0,4673.0,2810.0,1201.0,3600.0,10244.0,7793.0,1658.0,12069.0,5687.0,7677.0,2092.0,2599.0,8708.0,1392.0,1955.0,1222.0,8053.0,5904.0,36159.0,25629.0,10474.0,5113.0,18165.0,8550.0,1344.0,1103.0,5758.0,1004.0,8761.0,37087.0,8944.0,15753.0,745.0,36481.0,5668.0,832.0,2047.0,265611.0,2817.0,Foreign Country,Texas,Texas,469349.0,734960.0,558753.0,37638369.0,0.019526882262087392,0.014845303206416836,0.012469961171803167,-0.0023753420346136686,-89404.0,CA,Foreign,TX,TX
5,Colorado,3191.0,2340.0,1615.0,12338.0,23234.0,,1567.0,501.0,8075.0,3250.0,1852.0,3510.0,1578.0,6027.0,2116.0,3718.0,1361.0,908.0,2157.0,3303.0,1358.0,3225.0,3055.0,4552.0,879.0,4079.0,4756.0,2249.0,4582.0,489.0,2863.0,8797.0,4061.0,3998.0,5527.0,3824.0,5543.0,3348.0,476.0,435.0,718.0,1340.0,3193.0,22390.0,3856.0,6281.0,914.0,5524.0,3995.0,412.0,2942.0,34511.0,57.0,Foreign Country,California,California,202359.0,236870.0,160171.0,5121108.0,0.04625366229339432,0.03127662997929354,0.03951469096140913,0.008238060982115589,42188.0,CO,Foreign,CA,CA
6,Connecticut,180.0,101.0,84.0,1387.0,3699.0,1502.0,,62.0,4771.0,2000.0,587.0,67.0,133.0,1843.0,168.0,16.0,0.0,315.0,8691.0,1267.0,259.0,692.0,76.0,365.0,69.0,206.0,1029.0,0.0,62.0,1221.0,3809.0,265.0,160.0,20015.0,1383.0,217.0,117.0,3668.0,2105.0,1488.0,997.0,0.0,123.0,1214.0,398.0,2555.0,608.0,2255.0,660.0,46.0,65.0,18681.0,0.0,New York,New York,New York,73000.0,91681.0,92163.0,3588283.0,0.025550102932238066,0.02568442901521424,0.020343991820043178,-0.005340437195171063,-19163.0,CT,NY,NY,NY
7,Delaware,329.0,81.0,0.0,541.0,699.0,169.0,66.0,,810.0,639.0,201.0,0.0,441.0,34.0,210.0,7.0,305.0,0.0,806.0,4238.0,0.0,43.0,201.0,713.0,0.0,0.0,388.0,0.0,12.0,0.0,6297.0,0.0,0.0,3141.0,664.0,27.0,0.0,8571.0,1008.0,131.0,153.0,0.0,221.0,883.0,475.0,1064.0,0.0,482.0,55.0,198.0,463.0,3697.0,0.0,Pennsylvania,Maryland,Pennsylvania,34766.0,38463.0,26516.0,907381.0,0.04238902952563477,0.029222564721985582,0.03831466605538357,0.009092101333397988,8250.0,DE,PA,MD,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,619800.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,7405.0,12635.0,3025.0,8451.0,22420.0,9383.0,11704.0,1264.0,,38658.0,3639.0,1846.0,312.0,19152.0,11472.0,2661.0,5441.0,6094.0,13701.0,15410.0,4689.0,19640.0,4663.0,7114.0,5175.0,559.0,23983.0,514.0,3857.0,4324.0,25206.0,1376.0,3527.0,59288.0,18191.0,2600.0,3315.0,20821.0,21611.0,5002.0,11953.0,716.0,10451.0,25532.0,2343.0,16614.0,2019.0,6339.0,7412.0,4964.0,846.0,144674.0,2643.0,Foreign Country,Georgia,New York,521960.0,666634.0,442562.0,19053237.0,0.03498796556196724,0.02322765417760772,0.02739482010327169,0.0041671659256639695,79398.0,FL,Foreign,GA,NY
