,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2014,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1136.0,,1450.0,837.0,5402.0,2019.0,497.0,116.0,14403.0,20220.0,1034.0,231.0,508.0,2263.0,2065.0,496.0,3718.0,2353.0,601.0,1318.0,0.0,2559.0,264.0,2347.0,5473.0,0.0,2418.0,0.0,284.0,250.0,635.0,570.0,617.0,2283.0,4577.0,1218.0,194.0,1444.0,320.0,0.0,2255.0,0.0,7770.0,6422.0,599.0,1925.0,179.0,1143.0,234.0,1162.0,307.0,12913.0,46.0,Georgia,Georgia,Georgia,108162.0,121075.0,111454.0,4841799.0,0.025006201207443762,0.023019129873007946,0.022339217303320523,-0.0006799125696874235,-3292.0,AL,GA,GA,GA
1,Alaska,,603.0,240.0,2049.0,3419.0,2017.0,167.0,56.0,2681.0,535.0,730.0,123.0,716.0,159.0,183.0,380.0,917.0,844.0,314.0,300.0,131.0,140.0,406.0,1706.0,423.0,637.0,802.0,144.0,173.0,141.0,145.0,217.0,160.0,168.0,568.0,150.0,2034.0,567.0,118.0,78.0,910.0,157.0,355.0,4549.0,442.0,684.0,115.0,4841.0,459.0,0.0,107.0,3972.0,0.0,Washington,Texas,Washington,37960.0,41932.0,92695.0,736283.0,0.05695092783617169,0.12589588514199024,0.05155626301299908,-0.07433962212899116,-54735.0,AK,WA,TX,WA
2,Arizona,3140.0,785.0,1180.0,,57446.0,9663.0,458.0,500.0,9149.0,4393.0,1911.0,2739.0,3825.0,11858.0,2431.0,2355.0,2366.0,1454.0,2039.0,2206.0,762.0,9378.0,4541.0,6000.0,950.0,1399.0,3932.0,1408.0,1782.0,875.0,2923.0,8522.0,7013.0,7309.0,6908.0,2124.0,6548.0,4292.0,679.0,1650.0,1027.0,1508.0,1602.0,16411.0,5118.0,3202.0,661.0,13152.0,5948.0,32.0,2670.0,47853.0,332.0,California,California,California,250556.0,298409.0,203624.0,6730413.0,0.04433739801703105,0.030254309802385086,0.037227433145633114,0.006973123343248028,46932.0,AZ,CA,CA,CA
3,Arkansas,66.0,2145.0,,782.0,5070.0,1149.0,431.0,0.0,2611.0,2013.0,283.0,696.0,0.0,3251.0,405.0,1491.0,398.0,2844.0,49.0,64.0,0.0,801.0,846.0,9565.0,2962.0,232.0,335.0,0.0,0.0,0.0,244.0,778.0,229.0,1326.0,711.0,8530.0,254.0,816.0,148.0,0.0,543.0,0.0,4534.0,14398.0,490.0,1250.0,0.0,777.0,822.0,303.0,34.0,8717.0,241.0,Texas,Texas,Texas,74917.0,83634.0,65092.0,2967392.0,0.028184345041032663,0.021935760425316236,0.025246748660102878,0.0033109882347866423,9825.0,AR,TX,TX,TX
4,California,7098.0,10439.0,1570.0,35200.0,,17500.0,5994.0,1067.0,25622.0,8669.0,12753.0,3618.0,7303.0,21441.0,6680.0,6836.0,3217.0,4884.0,10750.0,6996.0,761.0,11601.0,9449.0,7638.0,2336.0,2862.0,12550.0,1112.0,3143.0,1119.0,12884.0,4744.0,29985.0,34201.0,8267.0,6511.0,21028.0,14858.0,4317.0,817.0,3925.0,2964.0,5620.0,38990.0,14273.0,17847.0,1041.0,32837.0,6451.0,897.0,1401.0,311952.0,1752.0,Foreign Country,Texas,Texas,515818.0,827770.0,588654.0,38596972.0,0.021446501036402544,0.01525130002426097,0.013364208985098623,-0.0018870910391623474,-72836.0,CA,Foreign,TX,TX
5,Colorado,2696.0,1004.0,1956.0,12304.0,24506.0,,832.0,254.0,9304.0,5057.0,2943.0,4707.0,1365.0,9081.0,3940.0,4780.0,1004.0,2066.0,2565.0,3091.0,194.0,2858.0,3673.0,4900.0,777.0,2733.0,4974.0,1059.0,2896.0,369.0,2212.0,7069.0,3945.0,9519.0,4419.0,6811.0,2064.0,4244.0,342.0,0.0,1590.0,1570.0,2297.0,24431.0,2926.0,7328.0,720.0,8768.0,4068.0,110.0,5426.0,32411.0,765.0,Foreign Country,Texas,California,218512.0,250923.0,172856.0,5350101.0,0.04690060991371939,0.032308922766130954,0.04084259343889022,0.008533670672759265,45656.0,CO,Foreign,TX,CA
6,Connecticut,2294.0,275.0,0.0,269.0,3683.0,464.0,,282.0,6450.0,2232.0,662.0,104.0,0.0,2059.0,177.0,0.0,636.0,150.0,8381.0,1825.0,1898.0,28.0,858.0,844.0,66.0,0.0,1368.0,0.0,0.0,1296.0,5473.0,0.0,541.0,21431.0,1064.0,260.0,555.0,3872.0,4210.0,4771.0,457.0,93.0,1325.0,1696.0,241.0,2847.0,825.0,699.0,83.0,0.0,0.0,25891.0,82.0,Foreign Country,New York,New York,86826.0,112717.0,94695.0,3594524.0,0.031357976744625995,0.026344239181599567,0.02415507588765578,-0.002189163293943787,-7869.0,CT,Foreign,NY,NY
7,Delaware,462.0,46.0,0.0,269.0,160.0,95.0,954.0,,752.0,1455.0,0.0,0.0,0.0,88.0,0.0,0.0,105.0,0.0,1050.0,6777.0,14.0,159.0,484.0,477.0,0.0,0.0,1036.0,0.0,54.0,483.0,4366.0,58.0,29.0,3673.0,148.0,224.0,7.0,5670.0,272.0,32.0,418.0,0.0,277.0,737.0,0.0,806.0,0.0,124.0,143.0,176.0,0.0,4181.0,0.0,Maryland,Pennsylvania,Maryland,32080.0,36261.0,26889.0,932487.0,0.03888633299981662,0.028835790740246246,0.034402624379750064,0.005566833639503818,5191.0,DE,MD,PA,MD
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662328.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,7883.0,15731.0,1911.0,7902.0,23239.0,9260.0,12944.0,1401.0,,42020.0,2180.0,3728.0,915.0,25095.0,10599.0,2879.0,6237.0,5179.0,15606.0,15850.0,4293.0,23791.0,5399.0,8481.0,5623.0,161.0,25333.0,730.0,1785.0,4248.0,24425.0,1336.0,4024.0,58753.0,27438.0,5296.0,2797.0,28841.0,27596.0,3816.0,11346.0,693.0,13711.0,25175.0,2926.0,25342.0,2319.0,4510.0,7735.0,3313.0,405.0,163811.0,4398.0,Foreign Country,Georgia,New York,576598.0,740409.0,440070.0,19845911.0,0.03730788674805606,0.022174341102305657,0.02905374311111241,0.006879402008806754,136528.0,FL,Foreign,GA,NY
10,Georgia,3804.0,18778.0,1793.0,6629.0,13978.0,5629.0,3248.0,1542.0,45495.0,,1528.0,332.0,532.0,4550.0,2938.0,3031.0,3962.0,3608.0,4290.0,5247.0,752.0,7618.0,1288.0,2149.0,4589.0,189.0,14421.0,495.0,1033.0,216.0,4249.0,1586.0,2218.0,14399.0,5675.0,1414.0,571.0,7914.0,1315.0,427.0,17776.0,452.0,14797.0,17311.0,882.0,10491.0,206.0,4161.0,3473.0,1487.0,360.0,49955.0,227.0,Foreign Country,Florida,Florida,275055.0,325010.0,245353.0,10067278.0,0.03228380104334061,0.024371334535511983,0.027321685166536575,0.002950350631024591,29702.0,GA,Foreign,FL,FL
11,Hawaii,1049.0,510.0,0.0,3126.0,12186.0,2286.0,507.0,0.0,3235.0,2876.0,,475.0,286.0,939.0,1769.0,321.0,181.0,526.0,160.0,1061.0,450.0,944.0,60.0,366.0,370.0,125.0,1323.0,0.0,268.0,0.0,593.0,205.0,1671.0,1992.0,504.0,575.0,1063.0,682.0,262.0,159.0,681.0,0.0,1076.0,3834.0,542.0,3137.0,0.0,4513.0,591.0,0.0,27.0,10887.0,971.0,California,California,California,58477.0,69364.0,60633.0,1414538.0,0.04903650520523309,0.04286417190630439,0.04133999934961097,-0.0015241725566934247,-2156.0,HI,CA,CA,CA
12,Idaho,2966.0,166.0,110.0,3506.0,10057.0,2341.0,37.0,37.0,377.0,162.0,816.0,343.0,,1747.0,251.0,732.0,31.0,125.0,41.0,239.0,38.0,415.0,467.0,710.0,141.0,3531.0,1004.0,121.0,120.0,0.0,66.0,294.0,2110.0,463.0,64.0,1011.0,4371.0,359.0,90.0,0.0,512.0,409.0,1361.0,2598.0,5725.0,572.0,529.0,11461.0,548.0,0.0,1549.0,5601.0,0.0,Washington,Washington,Washington,64723.0,70324.0,56658.0,1631112.0,0.04311414544188259,0.034735812133072405,0.039680291727361455,0.00494447959428905,8065.0,ID,WA,WA,WA
13,Illinois,3205.0,1566.0,1234.0,2834.0,15669.0,4066.0,1386.0,434.0,14350.0,4394.0,765.0,6471.0,795.0,,19221.0,2624.0,2403.0,2429.0,4491.0,2313.0,1040.0,11653.0,3934.0,15333.0,2181.0,1186.0,5079.0,572.0,527.0,24.0,2996.0,532.0,2284.0,9781.0,8414.0,2739.0,1132.0,6053.0,1185.0,50.0,1857.0,117.0,4872.0,12270.0,613.0,3669.0,355.0,3065.0,15053.0,177.0,190.0,66537.0,435.0,Foreign Country,Indiana,Indiana,210018.0,276555.0,321811.0,12884493.0,0.021464174026870907,0.024976613359951376,0.01630005930384688,-0.008676554056104496,-111793.0,IL,Foreign,IN,IN
14,Indiana,295.0,1229.0,873.0,3894.0,6372.0,1799.0,837.0,62.0,8690.0,2592.0,843.0,2162.0,146.0,38177.0,,868.0,9486.0,937.0,1402.0,2271.0,62.0,9876.0,834.0,1754.0,530.0,246.0,3332.0,214.0,216.0,921.0,1116.0,331.0,1297.0,1825.0,11584.0,611.0,831.0,2000.0,77.0,265.0,1115.0,598.0,3844.0,5011.0,671.0,1687.0,217.0,1909.0,3283.0,30.0,615.0,24986.0,0.0,Illinois,Illinois,Illinois,139837.0,164823.0,136344.0,6593644.0,0.024997254932174074,0.020678095450709803,0.021207848042751474,0.0005297525920416706,3493.0,IN,IL,IL,IL
15,Iowa,906.0,641.0,957.0,2644.0,3352.0,2461.0,520.0,380.0,1811.0,1067.0,274.0,,175.0,13612.0,3293.0,1119.0,190.0,170.0,439.0,389.0,0.0,1813.0,8933.0,3247.0,563.0,29.0,732.0,500.0,8602.0,24.0,367.0,607.0,258.0,943.0,805.0,618.0,676.0,2240.0,0.0,0.0,243.0,1989.0,112.0,5164.0,505.0,1015.0,113.0,1287.0,2871.0,161.0,298.0,14379.0,0.0,Foreign Country,Nebraska,Illinois,79115.0,93494.0,76864.0,3109350.0,0.03006866386865422,0.02472027915802338,0.025444224677183335,0.0007239455191599548,2251.0,IA,Foreign,NE,IL
16,Kansas,1478.0,830.0,906.0,2115.0,6381.0,3350.0,503.0,0.0,4457.0,485.0,460.0,1280.0,90.0,2618.0,308.0,,923.0,1947.0,550.0,0.0,103.0,1955.0,1599.0,22240.0,280.0,604.0,2053.0,497.0,2637.0,0.0,1730.0,609.0,2101.0,1118.0,1807.0,6031.0,511.0,606.0,113.0,0.0,83.0,201.0,954.0,11255.0,732.0,4563.0,0.0,2632.0,440.0,139.0,306.0,15049.0,0.0,Missouri,Missouri,Missouri,96580.0,111629.0,92914.0,2900475.0,0.03848645480481645,0.03203406338616951,0.03329799429403805,0.0012639309078685407,3666.0,KS,MO,MO,MO
