,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2019,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1105.0,,813.0,904.0,3690.0,2042.0,705.0,0.0,15519.0,13993.0,668.0,722.0,0.0,1962.0,3451.0,1212.0,1500.0,3789.0,1452.0,808.0,140.0,1893.0,41.0,864.0,4377.0,151.0,3597.0,17.0,386.0,176.0,599.0,53.0,771.0,1996.0,2364.0,541.0,245.0,2336.0,338.0,257.0,2448.0,0.0,9970.0,8405.0,2083.0,2876.0,0.0,1883.0,1307.0,421.0,0.0,11748.0,103.0,Florida,Florida,Florida,104973.0,116721.0,98383.0,4903185.0,0.023805138904609963,0.02006512093669727,0.02140914528005776,0.0013440243433604886,6590.0,AL,FL,FL,FL
1,Alaska,,260.0,12.0,886.0,2547.0,685.0,153.0,224.0,2473.0,743.0,217.0,143.0,1644.0,952.0,0.0,1296.0,1017.0,529.0,515.0,339.0,77.0,310.0,417.0,890.0,86.0,113.0,2557.0,187.0,1.0,0.0,0.0,878.0,986.0,329.0,29.0,359.0,750.0,385.0,37.0,0.0,448.0,280.0,301.0,4332.0,1092.0,2216.0,44.0,1435.0,228.0,355.0,242.0,4241.0,17.0,Texas,California,Texas,34016.0,38257.0,49796.0,731545.0,0.052296167699868085,0.06806963344701966,0.046498848327854066,-0.021570785119165596,-15780.0,AK,TX,CA,TX
2,Arizona,1561.0,1750.0,1022.0,,59713.0,14684.0,895.0,653.0,7358.0,3947.0,4942.0,2982.0,2961.0,10915.0,3156.0,3742.0,383.0,1650.0,2745.0,1905.0,218.0,7914.0,5868.0,2248.0,393.0,1636.0,4038.0,1012.0,2307.0,392.0,3221.0,7251.0,7514.0,6079.0,5178.0,2042.0,6979.0,4906.0,970.0,227.0,304.0,989.0,2253.0,17482.0,8917.0,3837.0,662.0,17636.0,3688.0,237.0,664.0,45492.0,152.0,California,California,California,254178.0,299670.0,173450.0,7278717.0,0.04117071731185592,0.023829749116499516,0.03492071473585249,0.011090965619352973,80728.0,AZ,CA,CA,CA
3,Arkansas,98.0,636.0,,692.0,4967.0,1585.0,87.0,0.0,2118.0,1352.0,118.0,674.0,157.0,1308.0,438.0,1139.0,265.0,4089.0,97.0,535.0,39.0,820.0,1142.0,4368.0,1867.0,74.0,369.0,39.0,380.0,0.0,420.0,0.0,962.0,642.0,569.0,5826.0,501.0,533.0,302.0,0.0,443.0,0.0,3237.0,12851.0,710.0,671.0,0.0,571.0,797.0,133.0,1109.0,7823.0,0.0,Texas,Texas,Texas,59730.0,67553.0,64673.0,3017804.0,0.022384820220266128,0.021430483888284328,0.01979253788516418,-0.0016379460031201477,-4943.0,AR,TX,TX,TX
4,California,5064.0,3310.0,3104.0,28226.0,,15085.0,4067.0,1630.0,22692.0,14496.0,11985.0,1956.0,4372.0,24085.0,4923.0,2941.0,2606.0,5347.0,16158.0,11775.0,2335.0,6406.0,8951.0,7638.0,2354.0,1974.0,13863.0,710.0,2587.0,709.0,10812.0,3418.0,26433.0,37567.0,9098.0,3747.0,17265.0,12578.0,1780.0,2839.0,5803.0,1345.0,5863.0,37063.0,8504.0,24506.0,784.0,31882.0,4811.0,303.0,1159.0,261818.0,2887.0,Foreign Country,Texas,New York,481796.0,743614.0,650940.0,39512223.0,0.018819847215379402,0.016474395783805936,0.012193593865877908,-0.004280801917928028,-169144.0,CA,Foreign,TX,NY
5,Colorado,862.0,3422.0,1022.0,10616.0,29350.0,,942.0,0.0,14124.0,6985.0,2782.0,2589.0,798.0,10153.0,3114.0,6544.0,1455.0,3901.0,6053.0,3555.0,900.0,3101.0,5523.0,4801.0,554.0,1984.0,4930.0,2084.0,4861.0,196.0,3677.0,4895.0,3888.0,7965.0,4432.0,4412.0,3619.0,3362.0,642.0,820.0,1081.0,1581.0,5549.0,32295.0,2458.0,6796.0,161.0,7333.0,4454.0,502.0,3860.0,28198.0,83.0,Texas,Texas,Texas,241066.0,269264.0,198020.0,5758736.0,0.046757482892079094,0.03438601804284829,0.041860922257939935,0.007474904215091643,43046.0,CO,TX,TX,TX
6,Connecticut,220.0,248.0,0.0,441.0,4049.0,1165.0,,45.0,7501.0,1266.0,912.0,165.0,0.0,1389.0,309.0,94.0,135.0,764.0,13020.0,1720.0,743.0,1091.0,676.0,212.0,0.0,0.0,2640.0,0.0,189.0,741.0,5297.0,0.0,174.0,27606.0,1369.0,199.0,523.0,3711.0,4280.0,3788.0,910.0,539.0,921.0,2141.0,120.0,1764.0,103.0,191.0,232.0,408.0,0.0,24838.0,0.0,New York,New York,New York,94011.0,118849.0,104171.0,3565287.0,0.03333504427553799,0.02921812465588324,0.026368424196986106,-0.0028497004588971357,-10160.0,CT,NY,NY,NY
7,Delaware,294.0,0.0,0.0,0.0,161.0,530.0,415.0,,939.0,344.0,0.0,0.0,0.0,562.0,0.0,189.0,0.0,41.0,548.0,8646.0,0.0,0.0,0.0,37.0,26.0,29.0,1167.0,0.0,262.0,78.0,6955.0,177.0,149.0,3044.0,34.0,1025.0,0.0,8902.0,0.0,258.0,8.0,0.0,409.0,744.0,75.0,1260.0,0.0,45.0,0.0,219.0,0.0,4234.0,0.0,Pennsylvania,Pennsylvania,Pennsylvania,37572.0,41806.0,28507.0,973764.0,0.0429323737579126,0.029275060486935234,0.03858429763269129,0.009309237145756058,9065.0,DE,PA,PA,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,705749.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,4906.0,15153.0,3544.0,7054.0,28628.0,13656.0,13227.0,3083.0,,49681.0,4103.0,3669.0,1032.0,24425.0,18175.0,1813.0,10545.0,8606.0,17056.0,14831.0,4812.0,21668.0,6239.0,11326.0,4572.0,591.0,28207.0,1230.0,1948.0,3529.0,28222.0,2349.0,3674.0,57488.0,30335.0,6488.0,4309.0,34965.0,14657.0,2685.0,9909.0,1364.0,14573.0,26174.0,3433.0,26031.0,3355.0,6870.0,6563.0,2186.0,624.0,186326.0,2422.0,Foreign Country,Georgia,New York,615985.0,802311.0,465805.0,21477737.0,0.037355471854413715,0.021687806308457916,0.028680163091670225,0.006992356783212309,150180.0,FL,Foreign,GA,NY
10,Georgia,1378.0,14169.0,3322.0,2362.0,15437.0,2904.0,2927.0,1076.0,46235.0,,2069.0,1566.0,159.0,14438.0,3020.0,3931.0,2614.0,2845.0,2876.0,1992.0,252.0,4281.0,968.0,5863.0,5502.0,359.0,15580.0,0.0,2881.0,686.0,8455.0,102.0,1991.0,14641.0,5146.0,1538.0,1024.0,7726.0,1906.0,1016.0,18828.0,500.0,17210.0,22452.0,1182.0,11686.0,265.0,2879.0,3898.0,408.0,968.0,48229.0,359.0,Foreign Country,Florida,Florida,285872.0,334101.0,252954.0,10617423.0,0.031467240214504026,0.023824425192440764,0.026924800867404453,0.003100375674963688,32918.0,GA,Foreign,FL,FL
11,Hawaii,907.0,502.0,169.0,803.0,10954.0,2190.0,414.0,0.0,1858.0,1836.0,,0.0,1294.0,568.0,318.0,466.0,471.0,117.0,489.0,352.0,0.0,90.0,500.0,729.0,0.0,625.0,3524.0,302.0,200.0,48.0,668.0,402.0,2641.0,1940.0,1271.0,131.0,1613.0,23.0,204.0,116.0,189.0,0.0,586.0,1667.0,772.0,3107.0,65.0,4322.0,83.0,197.0,0.0,13925.0,442.0,Foreign Country,California,California,50165.0,64090.0,68417.0,1415872.0,0.04526539122180536,0.04832145843692085,0.035430462640690684,-0.012890995796230167,-18252.0,HI,Foreign,CA,CA
12,Idaho,674.0,19.0,386.0,5018.0,17722.0,3970.0,247.0,58.0,895.0,397.0,599.0,14.0,,268.0,454.0,179.0,183.0,117.0,168.0,385.0,231.0,607.0,324.0,404.0,192.0,3026.0,541.0,179.0,304.0,0.0,0.0,325.0,2093.0,194.0,403.0,1903.0,7570.0,653.0,0.0,0.0,305.0,308.0,344.0,3198.0,7371.0,1715.0,0.0,13505.0,620.0,0.0,662.0,6481.0,0.0,California,Washington,California,78730.0,85211.0,55062.0,1787065.0,0.04768209326465461,0.030811414246264126,0.04405547643762258,0.013244062191358454,23668.0,ID,CA,WA,CA
13,Illinois,135.0,1658.0,1202.0,5054.0,14692.0,3455.0,1783.0,213.0,14534.0,3610.0,767.0,10294.0,106.0,,17156.0,2307.0,3514.0,805.0,3693.0,2572.0,564.0,10396.0,3930.0,13389.0,765.0,37.0,4792.0,445.0,1772.0,507.0,3562.0,631.0,1394.0,8032.0,7684.0,2326.0,1214.0,4591.0,714.0,143.0,1518.0,285.0,2518.0,9106.0,326.0,5338.0,74.0,4364.0,12021.0,379.0,109.0,56785.0,263.0,Foreign Country,Indiana,Indiana,190739.0,247524.0,307470.0,12671821.0,0.019533419861281185,0.024264073805966797,0.01505221704126029,-0.009211856764706507,-116731.0,IL,Foreign,IN,IN
14,Indiana,184.0,1481.0,1056.0,4067.0,7255.0,2050.0,2165.0,48.0,11926.0,2117.0,90.0,1744.0,0.0,36328.0,,1349.0,12483.0,621.0,469.0,542.0,146.0,8509.0,1599.0,2373.0,699.0,326.0,5054.0,42.0,204.0,0.0,1391.0,429.0,2016.0,4199.0,12038.0,986.0,951.0,5331.0,136.0,37.0,1312.0,409.0,3169.0,7095.0,490.0,2096.0,40.0,2186.0,1962.0,10.0,118.0,26597.0,0.0,Illinois,Florida,Illinois,151328.0,177925.0,142120.0,6732219.0,0.026428878799100268,0.021110424363794462,0.022478175472307124,0.001367751108512661,9208.0,IN,IL,FL,IL
15,Iowa,425.0,70.0,188.0,2175.0,5819.0,4472.0,142.0,0.0,4397.0,498.0,71.0,,1382.0,10843.0,836.0,1295.0,376.0,502.0,271.0,1444.0,0.0,350.0,5358.0,3461.0,424.0,402.0,1307.0,76.0,7454.0,0.0,85.0,366.0,492.0,489.0,1358.0,261.0,981.0,318.0,0.0,34.0,64.0,2276.0,546.0,3936.0,3.0,1051.0,0.0,781.0,4722.0,409.0,434.0,14124.0,0.0,Foreign Country,Illinois,Illinois,72644.0,86768.0,74638.0,3155070.0,0.0275011330968885,0.023656527430453208,0.023024528774321963,-0.0006319986561312448,-1994.0,IA,Foreign,IL,IL
16,Kansas,7.0,1021.0,1830.0,2367.0,4957.0,7224.0,208.0,379.0,3828.0,3105.0,167.0,1010.0,76.0,2449.0,1609.0,,1297.0,313.0,6.0,219.0,0.0,537.0,2373.0,27065.0,521.0,1227.0,1757.0,515.0,2836.0,92.0,509.0,403.0,147.0,1497.0,309.0,4258.0,553.0,2189.0,696.0,0.0,308.0,39.0,1316.0,8374.0,378.0,1556.0,0.0,2325.0,610.0,174.0,442.0,12193.0,81.0,Missouri,Missouri,Missouri,95159.0,107352.0,88942.0,2913314.0,0.03684875711989851,0.03052949321631654,0.03266348907120894,0.0021339958548923996,6217.0,KS,MO,MO,MO
17,Kentucky,855.0,4390.0,521.0,990.0,3410.0,1177.0,310.0,0.0,7139.0,3740.0,804.0,1573.0,0.0,4843.0,11424.0,565.0,,668.0,301.0,1076.0,1893.0,3825.0,310.0,1498.0,246.0,8.0,2922.0,162.0,341.0,0.0,509.0,544.0,645.0,2693.0,13309.0,378.0,255.0,3235.0,92.0,0.0,1040.0,63.0,8070.0,2878.0,1746.0,4170.0,95.0,2232.0,2088.0,983.0,0.0,11798.0,0.0,Ohio,Ohio,Ohio,100016.0,111814.0,100972.0,4467673.0,0.025027346450825744,0.02260057976490222,0.022386598123900293,-0.00021398164100192713,-956.0,KY,OH,OH,OH
18,Louisiana,1194.0,2567.0,2497.0,1357.0,4228.0,1881.0,109.0,0.0,5296.0,2809.0,175.0,330.0,142.0,712.0,258.0,133.0,171.0,,277.0,812.0,0.0,554.0,112.0,920.0,5395.0,248.0,1412.0,109.0,317.0,341.0,229.0,374.0,829.0,1359.0,1190.0,1973.0,162.0,710.0,1165.0,102.0,1549.0,3.0,1948.0,19675.0,129.0,1526.0,112.0,805.0,529.0,49.0,0.0,15400.0,673.0,Texas,Texas,Texas,69447.0,84847.0,95435.0,4648794.0,0.018251400255636194,0.02052898020432826,0.014938713137213651,-0.00559026706711461,-25988.0,LA,TX,TX,TX
19,Maine,318.0,73.0,183.0,317.0,1644.0,982.0,3092.0,675.0,2797.0,244.0,372.0,183.0,21.0,436.0,151.0,0.0,236.0,136.0,7005.0,787.0,,494.0,0.0,67.0,0.0,548.0,2042.0,0.0,0.0,5838.0,422.0,124.0,32.0,1273.0,446.0,29.0,306.0,1249.0,73.0,351.0,306.0,19.0,377.0,459.0,161.0,307.0,424.0,541.0,353.0,11.0,88.0,4579.0,212.0,Massachusetts,Massachusetts,Massachusetts,36204.0,40783.0,37819.0,1344212.0,0.0303397083198186,0.028134698990932978,0.026933251600194018,-0.0012014473907389599,-1615.0,ME,MA,MA,MA
20,Maryland,0.0,1597.0,274.0,1770.0,10092.0,1960.0,1885.0,5429.0,7766.0,3720.0,1059.0,130.0,0.0,1929.0,512.0,91.0,161.0,1000.0,2248.0,,213.0,1017.0,542.0,263.0,396.0,0.0,5453.0,173.0,80.0,725.0,8021.0,875.0,472.0,6018.0,2849.0,591.0,399.0,14376.0,602.0,177.0,1147.0,0.0,640.0,4954.0,1186.0,23429.0,368.0,1338.0,1790.0,4933.0,0.0,42646.0,837.0,Foreign Country,Virginia,Virginia,125487.0,168133.0,168317.0,6045680.0,0.02781043654311839,0.027840871498326078,0.020756474044276243,-0.007084397454049835,-42830.0,MD,Foreign,VA,VA
21,Massachusetts,553.0,1099.0,0.0,1228.0,11430.0,2094.0,11690.0,13.0,10360.0,4290.0,449.0,390.0,162.0,4050.0,1366.0,274.0,621.0,1831.0,,3521.0,6122.0,1260.0,1344.0,662.0,297.0,392.0,3812.0,140.0,96.0,11731.0,5638.0,41.0,869.0,17143.0,2190.0,69.0,1288.0,6043.0,3043.0,7784.0,2647.0,41.0,1933.0,6088.0,1286.0,3768.0,2167.0,2353.0,281.0,63.0,154.0,60620.0,226.0,Foreign Country,New Hampshire,New York,146392.0,207012.0,178184.0,6892503.0,0.03003437212867372,0.025851856720265482,0.021239308854852874,-0.004612547865412608,-31792.0,MA,Foreign,NH,NY
22,Michigan,222.0,1997.0,464.0,3447.0,8672.0,2459.0,1569.0,0.0,9941.0,5249.0,1124.0,600.0,205.0,10177.0,11026.0,1039.0,1961.0,686.0,2271.0,984.0,1716.0,,1747.0,2800.0,1502.0,75.0,2971.0,717.0,948.0,742.0,1267.0,1061.0,1348.0,6078.0,12261.0,780.0,1110.0,5074.0,990.0,99.0,1241.0,320.0,4489.0,8434.0,428.0,3468.0,32.0,1726.0,4361.0,767.0,139.0,37274.0,80.0,Foreign Country,Florida,Ohio,132864.0,170138.0,151613.0,9986857.0,0.017036190665391523,0.015181252720450488,0.013303885296445118,-0.0018773674240053703,-18749.0,MI,Foreign,FL,OH
23,Minnesota,1240.0,433.0,296.0,1748.0,6232.0,3647.0,386.0,6.0,4070.0,1862.0,30.0,5739.0,850.0,8348.0,2085.0,607.0,445.0,192.0,2442.0,826.0,207.0,3106.0,,1568.0,495.0,1379.0,1175.0,8360.0,1365.0,0.0,602.0,506.0,1081.0,2549.0,2935.0,204.0,1119.0,1349.0,29.0,0.0,275.0,3941.0,1262.0,5916.0,314.0,1743.0,0.0,5166.0,18403.0,0.0,207.0,25026.0,330.0,Foreign Country,Wisconsin,Wisconsin,107070.0,132096.0,113980.0,5639632.0,0.023422804892234105,0.020210538559962778,0.018985281309135064,-0.0012252572508277132,-6910.0,MN,Foreign,WI,WI
24,Mississippi,80.0,3512.0,2625.0,495.0,3024.0,421.0,0.0,0.0,4712.0,2271.0,221.0,246.0,135.0,3133.0,234.0,220.0,463.0,9257.0,252.0,975.0,0.0,309.0,0.0,528.0,,133.0,1383.0,291.0,290.0,37.0,183.0,0.0,298.0,2124.0,2153.0,292.0,565.0,917.0,922.0,0.0,1016.0,0.0,9192.0,4689.0,406.0,2244.0,10.0,526.0,1146.0,647.0,0.0,5631.0,331.0,Louisiana,Tennessee,Louisiana,62908.0,68539.0,59829.0,2976149.0,0.023029424938065937,0.020102824152957395,0.021137382570563502,0.0010345584176061073,3079.0,MS,LA,TN,LA
25,Missouri,927.0,2246.0,4768.0,3184.0,7970.0,4032.0,997.0,160.0,6848.0,5492.0,875.0,5774.0,1066.0,17366.0,5811.0,20685.0,2042.0,1488.0,464.0,1210.0,644.0,1328.0,1321.0,,2091.0,589.0,5552.0,873.0,3190.0,277.0,1515.0,482.0,877.0,2247.0,1691.0,4644.0,761.0,1320.0,1109.0,246.0,987.0,494.0,4106.0,11507.0,1567.0,2682.0,1094.0,2903.0,3004.0,829.0,45.0,20882.0,593.0,Foreign Country,Kansas,Kansas,153973.0,174855.0,134786.0,6137428.0,0.028489947254778387,0.021961316694876096,0.025087544815189686,0.0031262281203135907,19187.0,MO,Foreign,KS,KS
26,Montana,1124.0,400.0,68.0,1271.0,5298.0,3831.0,346.0,0.0,1715.0,149.0,32.0,350.0,2197.0,1045.0,84.0,137.0,49.0,954.0,374.0,21.0,72.0,346.0,996.0,487.0,30.0,,718.0,792.0,424.0,63.0,0.0,117.0,1928.0,1239.0,500.0,455.0,1977.0,651.0,11.0,0.0,0.0,188.0,0.0,780.0,1900.0,768.0,134.0,4907.0,107.0,176.0,1662.0,4186.0,0.0,California,Washington,California,40873.0,45059.0,39238.0,1068778.0,0.04215936331024778,0.03671295629213925,0.03824274077497853,0.0015297844828392818,1635.0,MT,CA,WA,CA
27,Nebraska,127.0,812.0,273.0,1968.0,2035.0,2816.0,261.0,9.0,1474.0,358.0,438.0,6952.0,386.0,1158.0,448.0,4054.0,182.0,59.0,218.0,1092.0,47.0,510.0,1615.0,1679.0,238.0,302.0,828.0,968.0,,0.0,110.0,792.0,35.0,472.0,233.0,1582.0,78.0,157.0,122.0,62.0,87.0,2070.0,351.0,4199.0,1111.0,1180.0,0.0,365.0,725.0,148.0,1000.0,7966.0,0.0,Foreign Country,Iowa,Iowa,46186.0,54152.0,52376.0,1934408.0,0.027994094317227804,0.027075983970289617,0.023876038560634572,-0.003199945409655045,-6190.0,NE,Foreign,IA,IA
