,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2012,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1004.0,,660.0,962.0,3077.0,1386.0,284.0,42.0,11244.0,19920.0,627.0,345.0,493.0,2722.0,1347.0,865.0,2495.0,3104.0,334.0,1513.0,67.0,2298.0,752.0,1555.0,4952.0,101.0,5133.0,228.0,151.0,161.0,1702.0,459.0,1009.0,2709.0,1411.0,194.0,200.0,1837.0,619.0,0.0,2811.0,518.0,10539.0,7468.0,579.0,3170.0,0.0,1034.0,760.0,128.0,88.0,14623.0,0.0,Georgia,Florida,Georgia,105057.0,119680.0,109139.0,4815588.0,0.024852624435479115,0.022663691329075496,0.021816027450853353,-0.0008476638782221428,-4082.0,AL,GA,FL,GA
1,Alaska,,1097.0,196.0,1520.0,3494.0,556.0,0.0,0.0,1991.0,928.0,1376.0,13.0,538.0,58.0,260.0,221.0,161.0,120.0,297.0,508.0,66.0,563.0,192.0,819.0,56.0,371.0,920.0,264.0,1195.0,118.0,116.0,263.0,803.0,736.0,1316.0,335.0,3174.0,255.0,25.0,0.0,384.0,99.0,451.0,1488.0,330.0,1265.0,79.0,3725.0,206.0,0.0,136.0,4310.0,272.0,Foreign Country,Florida,Washington,33356.0,37666.0,82878.0,730443.0,0.051565967501913224,0.11346265211659226,0.045665438644767624,-0.06779721347182463,-49522.0,AK,Foreign,FL,WA
2,Arizona,3717.0,1331.0,1214.0,,44889.0,13790.0,417.0,246.0,5553.0,2263.0,2491.0,2702.0,2934.0,10744.0,2930.0,2498.0,1328.0,724.0,1961.0,3007.0,616.0,9598.0,8570.0,2595.0,293.0,1118.0,2721.0,877.0,2293.0,510.0,2564.0,6946.0,6712.0,7402.0,7906.0,1626.0,8587.0,4280.0,1791.0,614.0,1070.0,1472.0,5075.0,14788.0,5916.0,2763.0,207.0,13247.0,3765.0,765.0,2786.0,37749.0,447.0,California,California,California,234659.0,272408.0,205994.0,6554978.0,0.041557423991354356,0.031425582206378117,0.03579859459482549,0.004373012388447374,28665.0,AZ,CA,CA,CA
3,Arkansas,855.0,374.0,,1677.0,3525.0,603.0,185.0,0.0,2682.0,1525.0,0.0,409.0,0.0,3576.0,1172.0,1033.0,1310.0,3953.0,254.0,169.0,17.0,1283.0,295.0,9105.0,3689.0,258.0,3057.0,0.0,166.0,0.0,157.0,547.0,121.0,2262.0,1135.0,9938.0,193.0,516.0,0.0,59.0,52.0,673.0,4195.0,11767.0,269.0,1159.0,0.0,251.0,695.0,84.0,1498.0,9335.0,4.0,Texas,Texas,Texas,76747.0,86082.0,65025.0,2952164.0,0.02915894916407083,0.022026215345759922,0.02599686196295328,0.003970646617193357,11722.0,AR,TX,TX,TX
4,California,6995.0,2509.0,3472.0,38916.0,,15150.0,6764.0,474.0,21004.0,10790.0,11906.0,2284.0,5331.0,21251.0,5891.0,2790.0,3763.0,5180.0,14356.0,7902.0,1256.0,8921.0,8539.0,6729.0,2556.0,3060.0,11195.0,1827.0,3302.0,1327.0,12057.0,5921.0,27968.0,31261.0,10653.0,6671.0,22724.0,10466.0,2323.0,1648.0,4110.0,826.0,5802.0,43005.0,12172.0,15625.0,544.0,34569.0,5681.0,1413.0,1886.0,250805.0,1483.0,Foreign Country,Texas,Texas,494248.0,745053.0,562506.0,37948800.0,0.019633110928408803,0.014822761194029851,0.013024074542541529,-0.0017986866514883224,-68258.0,CA,Foreign,TX,TX
5,Colorado,3457.0,3108.0,1043.0,10589.0,22152.0,,1317.0,70.0,8615.0,5834.0,2536.0,2776.0,2660.0,6374.0,4336.0,5283.0,2500.0,5048.0,5939.0,2844.0,20.0,3343.0,2992.0,3771.0,835.0,2021.0,4378.0,1918.0,4472.0,679.0,2464.0,6520.0,3789.0,7250.0,4533.0,4582.0,2419.0,3950.0,1144.0,137.0,2383.0,756.0,2535.0,17355.0,6398.0,3796.0,503.0,4853.0,3000.0,837.0,5602.0,34075.0,387.0,Foreign Country,Texas,California,206103.0,240178.0,160853.0,5192647.0,0.04625348112436682,0.030977072002005914,0.03969131735702427,0.008714245355018354,45250.0,CO,Foreign,TX,CA
6,Connecticut,439.0,46.0,200.0,3167.0,3161.0,367.0,,22.0,6578.0,1702.0,408.0,0.0,97.0,912.0,53.0,0.0,124.0,909.0,8743.0,1752.0,1224.0,753.0,605.0,358.0,276.0,50.0,3379.0,0.0,45.0,1009.0,5665.0,444.0,172.0,23310.0,287.0,415.0,35.0,2214.0,3228.0,1558.0,940.0,0.0,260.0,3279.0,45.0,1729.0,709.0,1593.0,711.0,174.0,104.0,21709.0,213.0,New York,New York,New York,83464.0,105173.0,86775.0,3594547.0,0.029259041542647794,0.024140733171662522,0.02321961571235541,-0.0009211174593071123,-3311.0,CT,NY,NY,NY
7,Delaware,692.0,119.0,0.0,188.0,2221.0,0.0,1489.0,,715.0,179.0,0.0,30.0,32.0,567.0,62.0,113.0,0.0,178.0,157.0,5649.0,0.0,227.0,351.0,80.0,58.0,0.0,1349.0,0.0,91.0,99.0,5846.0,85.0,572.0,3566.0,191.0,0.0,0.0,6828.0,56.0,135.0,298.0,0.0,344.0,133.0,166.0,1746.0,0.0,29.0,0.0,161.0,0.0,3544.0,0.0,Pennsylvania,Pennsylvania,Pennsylvania,34802.0,38346.0,25071.0,915179.0,0.04189999989073176,0.027394640829826733,0.03802753341149655,0.010632892581669814,9731.0,DE,PA,PA,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634924.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,10704.0,18599.0,3321.0,6473.0,20386.0,8766.0,8975.0,1099.0,,42754.0,3177.0,3864.0,1268.0,22565.0,13803.0,5661.0,6912.0,5550.0,15159.0,10442.0,7348.0,23400.0,5460.0,10666.0,5490.0,1758.0,23133.0,239.0,945.0,2362.0,27606.0,2853.0,1241.0,53009.0,22927.0,3142.0,2919.0,25659.0,21638.0,3050.0,11366.0,1070.0,16275.0,28564.0,2499.0,25697.0,2747.0,4943.0,6216.0,3533.0,773.0,140601.0,2328.0,Foreign Country,Georgia,New York,560334.0,700935.0,430812.0,19297822.0,0.03632197457308913,0.022324384585991102,0.02903612646028137,0.006711741874290269,129522.0,FL,Foreign,GA,NY
