,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2007,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,1253.0,,1580.0,1005.0,4643.0,981.0,514.0,0.0,18536.0,26244.0,988.0,243.0,37.0,2345.0,3616.0,351.0,2453.0,4346.0,522.0,2195.0,64.0,5007.0,701.0,1270.0,10358.0,85.0,4868.0,0.0,603.0,240.0,2922.0,726.0,620.0,4909.0,2859.0,862.0,151.0,1991.0,320.0,139.0,1848.0,0.0,9812.0,9001.0,184.0,4390.0,65.0,1023.0,590.0,361.0,294.0,Georgia,Georgia,,,138115.0,112632.0,4672840.0,0.029556971777334556,0.024103543027366656,,0.0054534287499679,25483.0,AL,GA,GA,Foreign
1,Alaska,,1151.0,386.0,2320.0,3985.0,1771.0,164.0,0.0,956.0,1639.0,1119.0,0.0,168.0,559.0,196.0,555.0,267.0,325.0,359.0,938.0,338.0,1061.0,172.0,843.0,99.0,897.0,386.0,191.0,185.0,0.0,113.0,307.0,210.0,569.0,303.0,319.0,1740.0,550.0,216.0,0.0,860.0,68.0,1484.0,3460.0,372.0,1028.0,0.0,3368.0,586.0,0.0,0.0,California,Texas,,,36583.0,63013.0,680300.0,0.053774805232985445,0.09262531236219315,,-0.038850507129207706,-26430.0,AK,CA,TX,Foreign
2,Arizona,1994.0,1678.0,1432.0,,65684.0,10555.0,1026.0,371.0,5693.0,4160.0,2966.0,2570.0,1910.0,11447.0,5633.0,3357.0,754.0,1178.0,5328.0,2248.0,1053.0,12012.0,7949.0,6354.0,436.0,1063.0,3803.0,985.0,1388.0,529.0,4214.0,10332.0,10394.0,5843.0,6477.0,2830.0,7151.0,3616.0,145.0,168.0,1490.0,752.0,2585.0,13890.0,7662.0,3766.0,227.0,9194.0,4049.0,759.0,1219.0,California,California,,,262319.0,189119.0,6167681.0,0.04253122040520578,0.030662902312879024,,0.011868318092326757,73200.0,AZ,CA,CA,Foreign
3,Arkansas,410.0,2065.0,,930.0,7139.0,1148.0,508.0,0.0,2923.0,1023.0,149.0,249.0,183.0,2333.0,1176.0,2085.0,858.0,5563.0,382.0,855.0,0.0,1771.0,1336.0,6958.0,2948.0,0.0,1057.0,59.0,555.0,1320.0,332.0,1187.0,2131.0,1206.0,979.0,5991.0,250.0,339.0,553.0,0.0,1022.0,113.0,5108.0,18459.0,1343.0,406.0,0.0,1908.0,1599.0,222.0,498.0,Texas,Texas,,,89629.0,83106.0,2848650.0,0.03146367577624489,0.029173819177505136,,0.0022898565987397555,6523.0,AR,TX,TX,Foreign
4,California,5508.0,2527.0,4098.0,33629.0,,23652.0,6930.0,324.0,28552.0,13499.0,15352.0,2962.0,5052.0,24219.0,7152.0,2793.0,3871.0,6176.0,12018.0,8522.0,1374.0,15046.0,9692.0,9661.0,4442.0,2584.0,12337.0,242.0,2700.0,1190.0,9919.0,5536.0,29730.0,25255.0,10141.0,4443.0,17046.0,11695.0,599.0,1612.0,3275.0,672.0,8140.0,36391.0,12377.0,14966.0,250.0,24449.0,5551.0,265.0,1388.0,Texas,Texas,,,489804.0,663843.0,36250311.0,0.013511718561531789,0.018312753234034324,,-0.0048010346725025355,-174039.0,CA,TX,TX,Foreign
5,Colorado,1905.0,1958.0,2261.0,10752.0,29278.0,,3270.0,212.0,8594.0,3934.0,1885.0,1309.0,1142.0,5902.0,2821.0,5977.0,1558.0,3012.0,4013.0,3452.0,1177.0,2417.0,2965.0,6505.0,181.0,1398.0,2612.0,1025.0,4892.0,391.0,2136.0,4450.0,4858.0,4380.0,5159.0,3974.0,5550.0,2036.0,0.0,1295.0,576.0,793.0,2415.0,23618.0,4529.0,4864.0,426.0,3639.0,3007.0,369.0,2446.0,California,California,,,197318.0,175518.0,4803868.0,0.041074817209798435,0.03653680742268522,,0.0045380097871132175,21800.0,CO,CA,CA,Foreign
6,Connecticut,244.0,205.0,219.0,701.0,4376.0,1156.0,,148.0,7760.0,652.0,235.0,508.0,265.0,1897.0,953.0,0.0,405.0,236.0,8705.0,2139.0,995.0,722.0,313.0,74.0,0.0,0.0,2297.0,65.0,404.0,2045.0,4884.0,0.0,636.0,23272.0,654.0,71.0,60.0,2346.0,1957.0,1927.0,371.0,13.0,602.0,2311.0,563.0,1101.0,680.0,761.0,207.0,46.0,0.0,New York,Florida,,,80181.0,100161.0,3527270.0,0.022731744380214726,0.028396181749625063,,-0.005664437369410337,-19980.0,CT,NY,FL,Foreign
7,Delaware,60.0,185.0,0.0,324.0,214.0,484.0,539.0,,1314.0,304.0,0.0,60.0,0.0,107.0,502.0,237.0,36.0,288.0,1274.0,5631.0,0.0,903.0,117.0,0.0,406.0,0.0,1038.0,0.0,0.0,84.0,6461.0,167.0,789.0,3848.0,280.0,210.0,0.0,10526.0,306.0,262.0,480.0,0.0,99.0,1683.0,0.0,1123.0,16.0,21.0,0.0,100.0,50.0,Pennsylvania,Pennsylvania,,,40528.0,29877.0,871749.0,0.0464904462178907,0.03427247980783459,,0.01221796641005611,10651.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574404.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,6221.0,13391.0,1883.0,3872.0,20661.0,10966.0,13719.0,1158.0,,31752.0,2678.0,1425.0,1122.0,18065.0,13047.0,1402.0,9255.0,5901.0,24301.0,13441.0,4872.0,22360.0,5005.0,4774.0,6103.0,481.0,15249.0,753.0,950.0,2757.0,23909.0,835.0,2141.0,63312.0,23340.0,3528.0,2119.0,25668.0,18832.0,3530.0,8460.0,682.0,10052.0,24855.0,1645.0,21684.0,1139.0,7426.0,6744.0,2778.0,795.0,New York,Georgia,,,511038.0,535727.0,18367842.0,0.027822430092767567,0.0291665727525313,,-0.0013441426597637328,-24689.0,FL,NY,GA,Foreign
