,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
change_mean_daily_mean_temp,0.13120524427086047,0.16671262271669515,0.1552421675425097,0.1523691059653653,0.19176401373486462,0.16335915828625167,0.12743832814936074,0.16923066547349705,0.14120009894652172
deaths,0.02293096004761079,0.04177370836909218,0.015570938198993347,0.01513601402843157,0.030126640562462014,0.011650862727771149,0.021957776881172578,0.040557368451925736,0.013469836765872732
historic_mean_avg_temp,0.28772025637458787,0.23963003439019062,0.28200477624261533,0.26848927971826814,0.23873316528716929,0.2902011688954434,0.27708605240027934,0.2440226160921901,0.2710636493972907
historic_mean_precip,0.3548609664412113,0.3191145681218775,0.3636951225126092,0.38086413935600466,0.3367505474322712,0.3667038578325104,0.369934689471756,0.32472705372889715,0.3872807733231574
property_damage,0.20328257286572965,0.23276906640214462,0.18348699550327244,0.18314146093193032,0.20262563298323288,0.1680849522580235,0.20358315309743147,0.22146229625348995,0.1869856415671574
