STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,disaster_count,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,001,3815630.0,0.1133757728081601,4326.0,0.11951411824671838,5822.0,12,"Autauga County, Alabama",58786,2014,2018,37,147900.0,966,0.076159420289855,0.2195471014492753,0.191159420289855,0.1069384057971014,0.0794927536231884,0.4259601449275362,0.1525724637681159,0.7687862318840579,0.5131521739130435,0.6945108695652173,0.2726086956521739,0.0201811594202898,0.0918659420289855,0.0023369565217391,0.00875,0.0086050724637681,0.0131340579710144,0.006141304347826,0.0071195652173913,0.0035144927536231,0.0060869565217391,0.0273369565217391,0.2273643577096289,0.0943598541711344,0.7180203646696661,0.0057473729358781,0.0104224748016298
01,003,39968462.0,0.0281346827906462,11245.0,0.0217944897958114,8324.0,12,"Baldwin County, Alabama",55962,2014,2018,42,189800.0,958,0.0687627038014098,0.19499103826397,0.2211602685157154,0.1462276617317053,0.0751728678035818,0.3301042252302902,0.1040474371357042,0.8626619959924462,0.513769359031652,0.537526368646898,0.4181118366993902,0.0344534302065764,0.0930002354557991,0.0038297606519723,0.0076931578466846,0.0114844767355254,0.0106723944893732,0.0104897961144987,0.008529266194794,0.0072847141134128,0.0064197744429548,0.0190334779704671,0.1852784849702979,0.2976729644021618,0.6532395512706367,0.0015454017597927,0.0031265353521818
01,005,1451733.0,0.09326783919632602,1354.0,0.1338750241826272,1730.0,12,"Barbour County, Alabama",34186,2014,2018,39,92900.0,590,0.1900938639360794,0.2515708633930649,0.1771003025366535,0.0549608253820494,0.0311457606081762,0.4752152664649756,0.2558761926925762,0.4738189434489178,0.4687378791404856,0.6820650065937476,0.2900861065859902,0.0250562407881467,0.0605461174462803,0.0079900705918858,0.0077185633387634,0.014700178419052,0.0159413544333255,0.0125281203940733,0.0085718718485765,0.0042665425490652,0.0110154371266775,0.0296330773407803,0.297059562704197,0.2304599145513948,0.6564337034617896,0.0012565971349585,0.003099606266231
01,007,884480.0,0.2003437047756874,1772.0,0.20835245262240157,1453.0,12,"Bibb County, Alabama",45340,2014,2018,39,96500.0,714,0.1176366138411683,0.331646468682026,0.1707284591823145,0.0531362365161805,0.0273449638211923,0.5519154792027345,0.1270919341234962,0.7665468104940738,0.4605584409819327,0.8120921560793715,0.1681981622053535,0.014427131886181,0.0567319216939672,0.0088338438318462,0.0080348026812269,0.0037288587028898,0.0044835086784747,0.0075464997558485,0.0072357615306077,0.002974208727305,0.0023527322768233,0.0154037377369378,0.1861150529418185,0.253356620456282,0.7232456140350877,0.0032747516646654,0.0048029691081759
01,009,2857200.0,0.0657986840263194,1880.0,0.09610051291000081,3084.0,12,"Blount County, Alabama",48695,2014,2018,40,124700.0,662,0.1363691560412872,0.2340012143290832,0.2301500563795645,0.0558070951513574,0.0311041720877786,0.5127070864775782,0.1425969294821754,0.9550524763639516,0.5067395264116575,0.795472287275566,0.1565096712637696,0.0435944140862173,0.0653135571168358,0.0035042067828953,0.007372712290745,0.0055685662243039,0.0093503339404978,0.0083962182322838,0.0055685662243039,0.0047011883077456,0.0042328042328042,0.010738138606991,0.1817768970357526,0.14953348195855,0.7332038834951456,0.0032202130294773,0.0081331021385517
01,011,165328.0,0.11250362914932739,186.0,0.2851912868387333,779.0,12,"Bullock County, Alabama",32152,2014,2018,39,77500.0,668,0.1700154559505409,0.2721213292117465,0.1528207109737248,0.0508114374034003,0.0404752704791344,0.5410548686244204,0.3004250386398763,0.2198608964451313,0.4529559505409583,0.8414799072642968,0.1431607418856259,0.0092735703245749,0.0343894899536321,0.0004829984544049,0.0,0.0066653786707882,0.0149729520865533,0.008210973724884,0.008500772797527,0.0026081916537867,0.0,0.0317812982998454,0.1950950066283694,0.2026071586389748,0.6874480465502909,0.0072912063632346,0.0057445868316394
01,013,556332.0,0.10713027472804,596.0,0.1732312875906177,909.0,11,"Butler County, Alabama",39109,2014,2018,40,88300.0,606,0.106916354556804,0.3041697877652934,0.17083645443196,0.0671161048689138,0.0444943820224719,0.5690886392009987,0.2317103620474407,0.5200499375780274,0.5321847690387016,0.8522347066167291,0.1306866416978776,0.013732833957553,0.0586267166042446,0.005792759051186,0.0118352059925093,0.0124344569288389,0.0053932584269662,0.0055930087390761,0.010087390761548,0.004294631710362,0.005043695380774,0.0152808988764044,0.2010771992818671,0.3309395571514063,0.6602564102564102,0.0014961101137043,0.0065828845002992
01,015,15772191.0,0.0438556697671236,6917.0,0.048851572205139894,6931.0,12,"Calhoun County, Alabama",45197,2014,2018,39,113800.0,680,0.1096456932353299,0.2228796330083928,0.2314809988010217,0.0700272810995847,0.0535109211280821,0.4750299744565501,0.1808806408451927,0.7433491459451945,0.519409546647205,0.7328363655319814,0.2285096178908408,0.0265773514743957,0.0829640827816295,0.0074110757789014,0.0130758136544509,0.0138403795026846,0.0091834784270795,0.0101131209925454,0.0086882482753827,0.0071764930754661,0.0084971068133242,0.0255434499296251,0.2560821131850527,0.1611154576953168,0.684675682277441,0.0018628218024663,0.0058865168957937
01,017,1610784.0,0.115906291594652,1867.0,0.1175747638082798,1523.0,12,"Chambers County, Alabama",39872,2014,2018,43,88400.0,715,0.1295748832259209,0.2678413055046414,0.2070300951930467,0.0650387276059835,0.0271388872464967,0.4939395731094424,0.1635132738130432,0.5759770590669899,0.5193933660497841,0.739815526518063,0.2417371252882398,0.0138946372612783,0.065304795128008,0.0083959084727724,0.0115295926210607,0.0169987583515638,0.0101992550109383,0.0136581327972565,0.0076863950807071,0.0093123632708567,0.0086028498787914,0.0197776858038195,0.2565808845179907,0.2040515870678994,0.6406481207457828,0.0068900535893056,0.0071256109769742
01,019,869448.0,0.1472198452351377,1280.0,0.1252797426929521,1114.0,11,"Cherokee County, Alabama",41014,2014,2018,45,123100.0,606,0.1428074111321703,0.2768344099330832,0.2095308088036204,0.0492399334700034,0.0438633814257533,0.3478899934243608,0.1480292422542838,0.9282094921285732,0.5041194445518895,0.5241944841991258,0.4663288593200015,0.0079294472595056,0.0806869608942869,0.0079294472595056,0.0087030518701891,0.0054925927358527,0.0066143194213437,0.0042548253587591,0.0072332031098905,0.0044869067419641,0.0066529996518779,0.0131899586121533,0.1350190551085838,0.3584175186014155,0.6913068074674712,0.0033875748593551,0.0027826507773274
