,NAME,state,county,median_household_income_2000,median_rent_2000,median_house_price_2000,year,unemployment_rate_2000
1622,"Lancaster County, Virginia",51,103,5012,508,118800,2000,0.06428876548483554
1623,"Lander County, Nevada",32,015,2116,496,66000,2000,0.07770886537759941
1624,"Lane County, Kansas",20,101,915,365,48400,2000,0.019230769230769232
1625,"Lane County, Oregon",41,039,130616,604,136000,2000,0.06376485318372802
1626,"Langlade County, Wisconsin",55,067,8494,405,71200,2000,0.05777820936104098
1627,"Lanier County, Georgia",13,173,2609,394,50300,2000,0.06037621359223301
1628,"Lapeer County, Michigan",26,087,30779,541,139400,2000,0.05461749326207643
1629,"Laramie County, Wyoming",56,021,32032,473,101200,2000,0.04572479167164108
1630,"Lares Municipio, Puerto Rico",72,081,11000,236,60600,2000,0.20193470374848851
1631,"Larimer County, Colorado",08,069,97128,678,168200,2000,0.042009642932010344
1632,"Larue County, Kentucky",21,123,5289,342,73900,2000,0.04764196342637151
1633,"Las Animas County, Colorado",08,071,6155,397,86300,2000,0.056724611161939616
1634,"Las Marías Municipio, Puerto Rico",72,083,3567,217,56700,2000,0.3021212121212121
1635,"Las Piedras Municipio, Puerto Rico",72,085,11170,280,70400,2000,0.22454484153742413
1636,"Lassen County, California",06,035,9629,561,105100,2000,0.09406425202456171
1637,"Latah County, Idaho",16,057,13063,469,118200,2000,0.07586280585532643
1638,"Latimer County, Oklahoma",40,077,3974,327,47900,2000,0.07780107151176334
1639,"Lauderdale County, Alabama",01,077,36128,420,80900,2000,0.055912051722885436
1640,"Lauderdale County, Mississippi",28,075,30036,404,62000,2000,0.07237708202163586
1641,"Lauderdale County, Tennessee",47,097,9557,407,58100,2000,0.0686898055606033
1642,"Laurel County, Kentucky",21,125,20375,377,64100,2000,0.053803825661629834
1643,"Laurens County, Georgia",13,175,17098,392,61700,2000,0.051428010599666306
1644,"Laurens County, South Carolina",45,059,26279,448,67600,2000,0.07058683843391018
1645,"Lavaca County, Texas",48,285,7660,366,61500,2000,0.02516571171778452
1646,"Lawrence County, Alabama",01,079,13555,361,64700,2000,0.06231773804995562
1647,"Lawrence County, Arkansas",05,075,7144,367,45100,2000,0.05567117585848075
1648,"Lawrence County, Illinois",17,101,6319,360,45000,2000,0.06231691078561918
1649,"Lawrence County, Indiana",18,093,18487,447,74200,2000,0.05671537926235212
1650,"Lawrence County, Kentucky",21,127,5950,362,43300,2000,0.11541180629197596
1651,"Lawrence County, Mississippi",28,077,5071,351,51300,2000,0.06255716114871045
1652,"Lawrence County, Missouri",29,109,13612,404,68500,2000,0.044448432639387414
1653,"Lawrence County, Ohio",39,087,24773,421,64500,2000,0.08507198398645008
1654,"Lawrence County, Pennsylvania",42,073,37136,424,71100,2000,0.06121237038052168
1655,"Lawrence County, South Dakota",46,081,8871,416,82300,2000,0.0910980256321441
1656,"Lawrence County, Tennessee",47,099,15537,395,72800,2000,0.07604480827229643
1657,"Le Flore County, Oklahoma",40,079,17874,372,51500,2000,0.0633490772751619
1658,"Le Sueur County, Minnesota",27,079,9626,433,109600,2000,0.03846980442725124
1659,"Lea County, New Mexico",35,025,19720,388,47300,2000,0.0911129046722267
1660,"Leake County, Mississippi",28,079,7624,345,50400,2000,0.07087274033281456
1661,"Leavenworth County, Kansas",20,103,23087,551,101600,2000,0.03114271701814615
1662,"Lebanon County, Pennsylvania",42,075,46611,470,99200,2000,0.03968495365553012
1663,"Lee County, Alabama",01,081,45751,449,85500,2000,0.057315153765893856
1664,"Lee County, Arkansas",05,077,4208,314,38900,2000,0.13211186113789777
1665,"Lee County, Florida",12,071,188755,646,96700,2000,0.037324445086526256
1666,"Lee County, Georgia",13,177,8219,587,92600,2000,0.03357371794871795
1667,"Lee County, Illinois",17,103,13258,468,83400,2000,0.05306501188888244
1668,"Lee County, Iowa",19,111,15186,398,61100,2000,0.05782478980200705
1669,"Lee County, Kentucky",21,129,3001,268,39100,2000,0.09428685577307232
1670,"Lee County, Mississippi",28,081,29216,441,79100,2000,0.04847179918075832
1671,"Lee County, North Carolina",37,105,18504,497,89500,2000,0.04610643106636532
1672,"Lee County, South Carolina",45,061,6893,330,47600,2000,0.09961639894509709
1673,"Lee County, Texas",48,287,5674,436,70900,2000,0.02569906790945406
1674,"Lee County, Virginia",51,105,9744,341,53400,2000,0.07951036612262903
1675,"Leelanau County, Michigan",26,089,8458,565,164900,2000,0.04979965655409273
1676,"Leflore County, Mississippi",28,083,12983,325,52700,2000,0.159018720010813
1677,"Lehigh County, Pennsylvania",42,077,121947,586,112100,2000,0.04442370449379706
1678,"Lemhi County, Idaho",16,059,3268,390,91300,2000,0.08555078683834048
1679,"Lenawee County, Michigan",26,091,35943,517,110300,2000,0.04730964467005076
1680,"Lenoir County, North Carolina",37,107,23874,405,69000,2000,0.07994394941075021
1681,"Leon County, Florida",12,073,96691,606,100600,2000,0.08297249155965628
1682,"Leon County, Texas",48,289,6212,410,60800,2000,0.0536754289312136
1683,"Leslie County, Kentucky",21,131,4912,278,29900,2000,0.10221992772328342
1684,"Letcher County, Kentucky",21,133,10054,309,35700,2000,0.10977426377907643
1685,"Levy County, Florida",12,075,13886,413,55100,2000,0.06105156431054461
1686,"Lewis County, Idaho",16,061,1566,342,78200,2000,0.08630054315027158
1687,"Lewis County, Kentucky",21,135,5419,269,39000,2000,0.11690873229334768
1688,"Lewis County, Missouri",29,111,3965,273,52700,2000,0.04802100919152129
1689,"Lewis County, New York",36,049,10058,444,63300,2000,0.07669593597016085
1690,"Lewis County, Tennessee",47,101,4380,357,61500,2000,0.07879248148851338
1691,"Lewis County, Washington",53,041,26362,551,114200,2000,0.09025173171143774
1692,"Lewis County, West Virginia",54,041,6943,340,60700,2000,0.07523211359912615
1693,"Lewis and Clark County, Montana",30,049,22855,457,105800,2000,0.05067879267167524
1694,"Lexington County, South Carolina",45,063,83363,548,92700,2000,0.037094952653983146
1695,"Lexington city, Virginia",51,678,2223,434,129800,2000,0.09810526315789474
1696,"Liberty County, Florida",12,077,2227,350,49900,2000,0.04961984793917567
1697,"Liberty County, Georgia",13,179,19434,529,73800,2000,0.05219039054470709
1698,"Liberty County, Montana",30,051,829,340,59800,2000,0.034594594594594595
1699,"Liberty County, Texas",48,291,23238,450,55100,2000,0.0686913268880482
1700,"Licking County, Ohio",39,089,55588,504,110700,2000,0.037773623430518544
1701,"Limestone County, Alabama",01,083,24668,392,80700,2000,0.04253608976626049
1702,"Limestone County, Texas",48,293,7908,426,46600,2000,0.05503875968992248
1703,"Lincoln County, Arkansas",05,079,4259,385,45000,2000,0.06958091036695407
1704,"Lincoln County, Colorado",08,073,2056,447,78700,2000,0.023274161735700197
1705,"Lincoln County, Georgia",13,181,3247,377,67200,2000,0.059114654935386306
1706,"Lincoln County, Idaho",16,063,1443,464,78100,2000,0.038995726495726496
1707,"Lincoln County, Kansas",20,105,1531,296,41300,2000,0.024
1708,"Lincoln County, Kentucky",21,137,9210,378,60800,2000,0.050038270187523916
1709,"Lincoln County, Maine",23,015,14170,541,114500,2000,0.04244921989991169
1710,"Lincoln County, Minnesota",27,081,2648,326,51300,2000,0.03451492537313433
1711,"Lincoln County, Mississippi",28,085,12517,366,57400,2000,0.07128237702025549
1712,"Lincoln County, Missouri",29,113,13882,460,94900,2000,0.04830720522902517
1713,"Lincoln County, Montana",30,053,7788,374,79000,2000,0.13807478524507327
1714,"Lincoln County, Nebraska",31,111,14091,427,77300,2000,0.040364583333333336
1715,"Lincoln County, Nevada",32,017,1556,328,74300,2000,0.05201560468140442
1716,"Lincoln County, New Mexico",35,027,8206,468,90900,2000,0.03920467310716693
1717,"Lincoln County, North Carolina",37,109,24060,482,92500,2000,0.03887964833075918
1718,"Lincoln County, Oklahoma",40,081,12196,397,55600,2000,0.0485516115871073
1719,"Lincoln County, Oregon",41,041,19352,575,136900,2000,0.08330565966127425
1720,"Lincoln County, South Dakota",46,083,8817,559,103500,2000,0.0181671672404952
1721,"Lincoln County, Tennessee",47,103,12537,388,74300,2000,0.05574000766185672
1722,"Lincoln County, Washington",53,043,4180,438,84400,2000,0.06132075471698113
1723,"Lincoln County, West Virginia",54,043,8688,322,53600,2000,0.10073373958462878
1724,"Lincoln County, Wisconsin",55,069,11744,433,86600,2000,0.053156146179401995
1725,"Lincoln County, Wyoming",56,023,5295,464,91800,2000,0.037961595273264405
1726,"Lincoln Parish, Louisiana",22,061,15249,436,72300,2000,0.13285333859354967
1727,"Linn County, Iowa",19,113,76806,510,97200,2000,0.03539502295240396
1728,"Linn County, Kansas",20,107,3814,412,67300,2000,0.05495689655172414
1729,"Linn County, Missouri",29,115,5741,322,46300,2000,0.034164358264081256
1730,"Linn County, Oregon",41,043,39636,580,122900,2000,0.07845524398762599
1731,"Lipscomb County, Texas",48,295,1209,366,40100,2000,0.04169769173492182
1732,"Litchfield County, Connecticut",09,005,71594,660,155900,2000,0.038107396312900825
1733,"Little River County, Arkansas",05,081,5482,372,50400,2000,0.06525851197982345
1734,"Live Oak County, Texas",48,297,4226,366,53000,2000,0.05793562708102109
1735,"Livingston County, Illinois",17,105,14400,464,78300,2000,0.05226517588734771
1736,"Livingston County, Kentucky",21,139,3973,362,56400,2000,0.04703649019194263
1737,"Livingston County, Michigan",26,093,55331,681,185900,2000,0.03271808079362808
1738,"Livingston County, Missouri",29,117,5796,357,63500,2000,0.032135553607946246
1739,"Livingston County, New York",36,051,22149,541,86300,2000,0.06117307278704642
1740,"Livingston Parish, Louisiana",22,063,32654,481,79600,2000,0.0476988226534506
1741,"Llano County, Texas",48,299,7906,547,89200,2000,0.029150636282923942
1742,"Logan County, Arkansas",05,083,8733,380,54000,2000,0.053085532395523154
1743,"Logan County, Colorado",08,075,7540,451,86200,2000,0.0380718452563709
1744,"Logan County, Illinois",17,107,11107,455,74900,2000,0.06243699173331541
1745,"Logan County, Kansas",20,109,1238,360,53300,2000,0.0375796178343949
1746,"Logan County, Kentucky",21,141,10504,415,65700,2000,0.04195588462131729
1747,"Logan County, Nebraska",31,113,315,340,61400,2000,0.017632241813602016
1748,"Logan County, North Dakota",38,047,959,277,33100,2000,0.02920443101711984
1749,"Logan County, Ohio",39,091,17906,489,86600,2000,0.036897847625555175
1750,"Logan County, Oklahoma",40,083,12395,417,68600,2000,0.056422639731432946
1751,"Logan County, West Virginia",54,045,14892,368,55200,2000,0.10512129380053908
1752,"Long County, Georgia",13,183,3576,456,53700,2000,0.07568009817958683
1753,"Lonoke County, Arkansas",05,085,19257,490,76900,2000,0.03801446367044035
1754,"Lorain County, Ohio",39,093,105875,518,113800,2000,0.04331150014453618
1755,"Los Alamos County, New Mexico",35,028,7495,666,213000,2000,0.02019279553526129
1756,"Los Angeles County, California",06,037,3136279,704,201400,2000,0.08217191711824694
1757,"Loudon County, Tennessee",47,105,15954,462,92900,2000,0.036262798634812285
1758,"Loudoun County, Virginia",51,107,59921,954,202300,2000,0.020128336433752066
1759,"Louisa County, Iowa",19,115,4526,419,66400,2000,0.04286418131056002
1760,"Louisa County, Virginia",51,109,9975,504,96100,2000,0.034406390888238554
1761,"Loup County, Nebraska",31,115,282,278,46400,2000,0.009174311926605505
