STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,055,9060289.0,0.0496893642134373,4502.0,0.05074379723846909,4332.0,105,0,0,0,0,0,70,31,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,057,484680.0,0.22241478913922577,1078.0,0.2478848951877997,828.0,55,0,1,0,0,0,40,8,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,059,875000.0,0.08422857142857139,737.0,0.0833565920078823,890.0,97,0,0,1,0,0,47,39,9,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,061,995524.0,0.1266669613188632,1261.0,0.115970072239422,899.0,120,0,0,0,0,0,62,40,14,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,063,81420.0,0.1166789486612625,95.0,0.5916647425536827,615.0,45,0,1,0,0,0,35,4,4,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,065,321904.0,0.20254485809433861,652.0,0.3700097370983446,1425.0,66,0,1,0,0,0,55,4,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,067,646190.0,0.1151364149863043,744.0,0.2124520507524343,684.0,121,0,0,0,0,0,58,55,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,069,22363010.0,0.0199481196851407,4461.0,0.057396726102378094,6709.0,249,1,0,0,0,0,109,115,21,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,071,2456496.0,0.0484836938468452,1191.0,0.0753798629076683,2162.0,92,2,2,0,0,0,59,28,8,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,073,219174690.0,0.0141535503027288,31021.0,0.0145109941919944,31251.0,243,3,0,1,0,0,185,50,8,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,075,302258.0,0.2090928941500307,632.0,0.2717603434816549,557.0,113,0,0,0,0,0,102,9,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,077,11070600.0,0.073076436688165,8090.0,0.0618512664724768,4037.0,270,2,0,0,0,0,107,151,13,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,079,1110372.0,0.146707589888794,1629.0,0.2068336916892586,1062.0,131,1,0,1,0,0,73,47,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,081,34477671.0,0.0459398780155422,15839.0,0.0344225304172663,11262.0,59,0,0,0,0,0,48,7,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,083,7948080.0,0.0892668418033034,7095.0,0.0614989426949402,5134.0,225,0,2,0,0,0,126,87,11,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,085,167212.0,0.144128411836471,241.0,0.4193709435846231,420.0,25,0,0,0,0,0,17,6,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
