,STATE_FIPS,COUNTY_FIPS,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,deaths,property_damage,start_year,end_year,historic_mean_precip,historic_mean_avg_temp,change_mean_daily_mean_temp
43,1,87,0.1377349772561027,2188.0,0.2066282832127902,1737.0,0,812500,2006,2010,52.93798,63.88702753,2.17540546
44,1,89,0.0207593832876551,21471.0,0.0203763248312887,17064.0,3,9833600,2006,2010,56.49986,59.87431026,2.46689665
45,1,91,0.190594177347882,1120.0,0.225156754702641,1185.0,0,1594500,2006,2010,54.21583,64.45671898,2.1934374
46,1,93,0.1368320288304521,1458.0,0.1289689014024979,1660.0,3,1812500,2006,2010,57.8883,60.20680854,2.45957468
47,1,95,0.0807457222123784,5350.0,0.0657835273314697,4003.0,2,17741000,2006,2010,53.88204,60.41400003,2.30224972
48,1,97,0.0160007808045058,15240.0,0.0161331074840332,17415.0,1,8904000,2006,2010,64.05863,67.46031895,2.03031889
49,1,99,0.1142191142191142,686.0,0.1053362241888589,909.0,1,2351000,2006,2010,58.37244,65.3072127,2.17114771
50,1,101,0.0305352314216433,16841.0,0.0309191980594622,14315.0,2,6096500,2006,2010,52.50036,64.94333301,2.35824558
51,1,103,0.0541402493584989,5909.0,0.0514854151211796,6172.0,1,7714000,2006,2010,56.28204,60.40899982,2.4897502
52,1,105,0.2651734395821835,985.0,0.3210272873194221,696.0,0,936000,2006,2010,53.35368,63.99452446,2.31976173
53,1,107,0.1435552699347644,621.0,0.1681466953263903,697.0,2,1163500,2006,2010,54.238,62.74499979,2.23224133
54,1,109,0.1547841155809923,3730.0,0.1708636077104276,2163.0,0,1000000,2006,2010,53.70042,65.29924965,2.18874988
55,1,111,0.2006131763917231,1628.0,0.1759397416358805,882.0,0,2851000,2006,2010,54.55759,60.88235294,2.33235281
56,1,113,0.1355242945786718,4563.0,0.1331519176742215,6086.0,0,1418500,2006,2010,50.16634,64.6519047,2.31976118
57,1,115,0.1172588090314765,5614.0,0.0908861606286087,3978.0,1,4162000,2006,2010,55.3867,61.39690472,2.33571379
58,1,117,0.0515083141100396,15110.0,0.0399215974320318,11018.0,0,4954500,2006,2010,56.06323,62.6470589,2.28607806
59,1,119,0.2124013260194933,321.0,0.2704638723196294,808.0,2,573500,2006,2010,54.49171,63.78474549,2.26474588
60,1,121,0.0631711336040293,5953.0,0.0734332613701046,5012.0,1,3673500,2006,2010,54.71403,62.04666646,2.37377794
61,1,123,0.1361444774309659,2569.0,0.1226685359014994,1932.0,0,1662000,2006,2010,55.49341,62.26075486,2.26301927
62,1,125,0.0394655806706854,15482.0,0.0283506354273693,8844.0,0,5090500,2006,2010,55.1096,62.69223525,2.31964645
63,1,127,0.0824571022218361,3038.0,0.0827618641413326,2703.0,11,9899000,2006,2010,57.62927,61.27903828,2.38096179
64,1,129,0.3945063465625179,1099.0,0.2367257502836795,726.0,0,6733000,2006,2010,59.56447,65.9716412,2.19000062
65,1,131,0.2340158796489762,812.0,0.2728810158511766,476.0,1,2360000,2006,2010,55.28818,65.01300023,2.32733307
66,1,133,0.2890718728083759,1624.0,0.1761001950707275,919.0,1,3034000,2006,2010,58.48376,60.4829999,2.48700027
71,4,1,0.0899238878976138,3297.0,0.0934712750996204,4469.0,2,22000,2006,2010,13.37192,50.25668954,2.66803007
72,4,3,0.0425077153857234,14357.0,0.0493689248122122,10695.0,7,3449000,2006,2010,14.56269,60.73767676,2.5216162
73,4,5,0.0695165141870132,13289.0,0.0540615756052179,11131.0,7,17410000,2006,2010,13.08503,52.45579679,2.58315449
74,4,7,0.1399019025524298,3453.0,0.1466492566300009,3549.0,0,775000,2006,2010,20.5158,58.15412139,2.54667733
75,4,9,0.1700444547823542,3202.0,0.1997916433605548,3429.0,0,311000,2006,2010,15.12539,59.05332176,2.48456762
76,4,11,0.5793126429857671,904.0,0.4297813171533308,578.0,0,297500,2006,2010,17.45088,55.03576547,2.50639639
77,4,12,0.218469242476312,1602.0,0.193201659901585,1278.0,1,6009500,2006,2010,6.11916,70.41300331,2.37207904
78,4,13,0.0058602066104621,206954.0,0.0038190289317424,162085.0,4,3086397500,2006,2010,9.15102,69.80718112,2.375235
79,4,15,0.0434999779765656,17658.0,0.0323180572338742,12995.0,12,26065200,2006,2010,10.9078,61.09670762,2.50120526
80,4,17,0.0959822406566283,6572.0,0.0823869639019536,8005.0,3,71000,2006,2010,11.30204,52.47411674,2.66913983
81,4,19,0.0113608997889023,61246.0,0.0080259020993912,41785.0,14,146340550,2006,2010,11.93104,68.02798959,2.50006977
82,4,21,0.043083661332879,47892.0,0.0333472277781483,23810.0,3,11573100,2006,2010,12.23546,67.93339242,2.36761071
83,4,23,0.1521729596982853,1735.0,0.1328040357529794,1569.0,38,11462800,2006,2010,18.02725,60.2318182,2.45454558
84,4,25,0.0400827211536736,17735.0,0.0284764698454477,13064.0,4,3954000,2006,2010,16.60865,58.05971371,2.52938923
85,4,27,0.037432770448261,14416.0,0.0295454214131161,9343.0,0,13521500,2006,2010,4.52441,71.7680225,2.44805098
86,5,1,0.1607436139357724,1104.0,0.1913995122821626,1609.0,1,110917000,2006,2010,50.58978,62.63405781,2.38231863
87,5,3,0.1798675538807667,905.0,0.1559445446560956,1321.0,5,64112000,2006,2010,54.61094,63.51177449,2.39032254
88,5,5,0.0858730223239753,3423.0,0.0818156836293687,2358.0,2,74783000,2006,2010,43.74258,58.08236855,2.7026319
89,5,7,0.0372058388228292,18037.0,0.0315301255786776,12395.0,1,75123700,2006,2010,45.05243,57.98813577,2.53559313
90,5,9,0.113221743452265,2507.0,0.1191513350074309,2232.0,1,5517010,2006,2010,44.06018,57.84238125,2.69976198
91,5,11,0.243933859432594,587.0,0.3347888836802415,907.0,1,20407000,2006,2010,53.83421,63.02487183,2.44897382
92,5,13,0.7064721969006381,310.0,0.5098111131487255,278.0,0,57587000,2006,2010,52.9637,62.88690494,2.50714312
93,5,15,0.1378277403336487,1984.0,0.1074455920847468,1137.0,1,52240400,2006,2010,44.85531,58.20119031,2.75857135
94,5,17,0.1976154600463992,661.0,0.2276821058336565,857.0,2,13534510,2006,2010,53.24056,64.01931841,2.52977224
95,5,19,0.1851388850305426,2999.0,0.1988566956694404,2043.0,0,5804300,2006,2010,52.32603,62.53465501,2.6324138
96,5,21,0.218452935694315,879.0,0.2698371069732203,1389.0,1,27340690,2006,2010,46.50808,59.62608686,2.47652186
97,5,23,0.1812544155742209,2309.0,0.154803902284507,1818.0,1,66901000,2006,2010,49.62265,58.97735326,2.41205889
98,5,25,0.2614832812680782,339.0,0.3051302808444013,343.0,0,40442000,2006,2010,51.09804,62.84026317,2.55289479
99,5,27,0.1273534764739095,1615.0,0.133842664096123,1494.0,4,122310000,2006,2010,51.28792,63.71999985,2.56899978
100,5,29,0.1822773003622796,1282.0,0.1788819875776397,1296.0,5,29254000,2006,2010,48.25989,61.06756767,2.50351303
101,5,31,0.0645036060830215,7590.0,0.0577964797499375,6229.0,3,14125400,2006,2010,48.30523,60.86217416,2.56239136
102,5,33,0.1398066328470993,4948.0,0.1283729787631986,3775.0,0,17694200,2006,2010,48.43412,59.56263191,2.66736833
103,5,35,0.1071515930356939,2935.0,0.0961501721185342,2768.0,0,10873460,2006,2010,50.62993,61.78975612,2.56219501
104,5,37,0.1409635541004479,682.0,0.2678004243287343,1290.0,0,18517800,2006,2010,49.93842,61.34066679,2.44777781
105,5,39,0.7207440331222601,947.0,0.3695912079827102,643.0,0,15627000,2006,2010,51.62156,62.26421055,2.64842064
106,5,41,0.2038382605801763,588.0,0.4048735950634385,1286.0,0,51152000,2006,2010,52.27838,63.25482144,2.50446394
107,5,43,0.2014612208048417,1446.0,0.184283024688075,1386.0,0,10196000,2006,2010,53.27953,63.2188709,2.52193531
108,5,45,0.0661029932046878,11544.0,0.0584286095759853,7597.0,3,6714500,2006,2010,48.9836,61.0790698,2.51418571
109,5,47,0.1791787033312612,931.0,0.1983459489767311,849.0,0,3996400,2006,2010,48.15047,59.9904881,2.67853667
110,5,49,0.3134609206480334,683.0,0.2747840486331647,989.0,1,4227100,2006,2010,44.82351,57.56790685,2.61837183
111,5,51,0.0534618287217914,6404.0,0.0474899667750597,5266.0,1,4336350,2006,2010,53.6115,60.80772721,2.48545438
112,5,53,0.3102131721285396,1521.0,0.2653678199529727,1185.0,0,9768000,2006,2010,51.77726,62.24534873,2.72999999
113,5,55,0.121522455848405,2331.0,0.1036640012277524,2148.0,0,28634310,2006,2010,45.9469,60.28474989,2.49924984
114,5,57,0.2044065146334341,1519.0,0.1919282026329305,1420.0,0,3140000,2006,2010,51.53551,62.77272719,2.55295484
115,5,59,0.1581325817578363,2306.0,0.1376027750256415,1893.0,1,2014000,2006,2010,52.60543,61.88536611,2.62926884
116,5,61,0.2088218053927315,513.0,0.2692111168884957,1196.0,0,3702300,2006,2010,53.46718,61.60799999,2.54775009
117,5,63,0.104134504729559,2597.0,0.0992670473991382,1981.0,1,25903000,2006,2010,47.44941,59.87568627,2.55647039
118,5,65,0.1573800379374367,1174.0,0.2717113432181725,1302.0,3,26339000,2006,2010,45.32592,58.43081098,2.56486522
119,5,67,0.1961599700290343,2618.0,0.2057362102508829,1214.0,2,9502000,2006,2010,48.67711,60.96486519,2.46918931
120,5,69,0.0723309152709887,5966.0,0.090517070116707,5627.0,1,6453000,2006,2010,50.50018,63.03709664,2.65032264
121,5,71,0.1172065593245507,1105.0,0.126294652293384,1195.0,1,3506000,2006,2010,49.34398,59.01292661,2.58536595
122,5,73,0.2603590572619756,459.0,0.3788931439997289,559.0,1,1575000,2006,2010,50.64944,63.78250006,2.65750026
123,5,75,0.1303046468848671,872.0,0.2192671155094095,865.0,0,12951970,2006,2010,47.19541,60.12804869,2.44780498
124,5,77,0.2854627371182413,1271.0,0.3317074262188709,1186.0,0,75610,2006,2010,51.32019,61.7141465,2.4429271
125,5,79,0.2204814437131114,1427.0,0.3157906850954622,1372.0,0,1752000,2006,2010,51.65028,63.40176448,2.6205883
126,5,81,0.4244449565952216,884.0,0.1658620871583834,503.0,1,841000,2006,2010,49.08884,63.69615389,2.62051332
127,5,83,0.1561518442071255,1218.0,0.1535486676048925,1342.0,0,21088000,2006,2010,47.35317,60.72377374,2.67207545
128,5,85,0.0988869141055745,6098.0,0.0995454047540804,5089.0,0,24612200,2006,2010,48.87039,62.16960765,2.65549102
129,5,87,0.3388269577050487,986.0,0.2356420216384664,859.0,2,1040500,2006,2010,47.86591,57.32894723,2.57929812
130,5,89,0.180390492359932,1139.0,0.3029023804563546,1105.0,1,2999000,2006,2010,43.98699,58.16232557,2.66046506
131,5,91,0.1300072562189517,3913.0,0.1481409217617207,4100.0,0,89493100,2006,2010,48.96202,64.37555542,2.69777849
132,5,93,0.0881411846061846,2799.0,0.0892770499757399,2576.0,1,2414800,2006,2010,49.36366,60.69921893,2.54234356
133,5,95,0.2975978471645099,376.0,0.3154010324127128,600.0,0,4152000,2006,2010,49.65197,61.82000006,2.36380958
134,5,97,0.4407144115002827,951.0,0.4922738577008893,770.0,20,9231250,2006,2010,54.63892,59.32660373,2.43830202
135,5,99,0.5053795909285953,636.0,0.3878008656777271,818.0,0,396000,2006,2010,51.91453,63.05950003,2.59324922
136,5,101,0.2370302003744238,452.0,0.5739710191682126,427.0,1,2222900,2006,2010,48.45979,57.04307681,2.54192308
137,5,103,0.1360754600278336,1408.0,0.1192898905855587,1034.0,1,7430100,2006,2010,52.3425,63.0,2.57122429
