STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,047,1931218.0,0.10325090176251459,1994.0,0.0930820008102376,1953.0,135,0,0,0,0,0,59,46,25,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,049,4436982.0,0.0678163670711307,3009.0,0.0709020484415104,2903.0,260,0,0,0,0,0,173,63,18,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,051,9453250.0,0.0881072646973263,8329.0,0.0954995470577145,5192.0,160,0,0,0,0,0,57,72,27,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,053,2073120.0,0.10795322991433201,2238.0,0.1344632465338303,2507.0,99,1,0,0,0,0,49,29,16,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,055,12123958.0,0.0532004482364587,6450.0,0.0625004331557237,4960.0,158,0,0,0,0,0,56,69,28,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,057,505963.0,0.22531291813828283,1140.0,0.3565123298593314,1252.0,103,1,0,0,0,0,32,48,19,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,059,1221480.0,0.1366375216949929,1669.0,0.22283004598117132,1921.0,134,0,0,0,0,0,94,31,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,061,866626.0,0.1652385227306819,1432.0,0.1411880065701554,1365.0,78,1,0,0,0,0,38,24,14,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,063,116727.0,0.2784274418086647,325.0,0.2280285656415181,349.0,89,5,1,0,0,0,45,27,12,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,065,608090.0,0.1639559933562466,997.0,0.46320274762613173,1261.0,80,0,0,0,0,0,23,30,23,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,067,297828.0,0.3035308970278147,904.0,0.2853541368905828,1150.0,66,1,0,0,0,0,24,28,8,6,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,069,22387248.0,0.026037144002692903,5829.0,0.0646359111006851,5158.0,101,0,0,0,0,0,39,33,23,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,071,3130440.0,0.066636000051111,2086.0,0.0974911213443061,2730.0,197,2,0,0,0,0,123,58,15,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
