STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,disaster_count,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,001,4092525.0,0.1048008258959933,4289.0,0.1036415683627405,4597.0,16,"Autauga County, Alabama",53682,2009,2013,37,136200.0,851,0.0936674740925565,0.2223942302438669,0.1979711147941064,0.0892235962627716,0.0468610559673629,0.4080354053217258,0.1204764419837179,0.7830877665871383,0.5120294315843152,0.6778188573405941,0.2926949205019396,0.016172801282168,0.1078551004425665,0.0023676398273444,0.0060101626386435,0.0124574280146429,0.0081410384832535,0.0089788187298522,0.0107272296792758,0.0061740761651519,0.003788223723751,0.0188136303203598,0.2094059405940594,0.0967146714671467,0.7041004434258383,0.0046804680468046,0.0061206120612061
01,003,41418720.0,0.0345520093329779,14311.0,0.0262558570503385,9914.0,16,"Baldwin County, Alabama",50221,2009,2013,41,168600.0,876,0.0759376636702758,0.202694613978644,0.2236069989418215,0.1300650940068621,0.0627959425804589,0.3341545795611231,0.137627328794211,0.8643767970328249,0.5114582553951067,0.5417873595775837,0.4149448999005953,0.0363735476768173,0.1033915153328986,0.0033776200604978,0.0073163953525658,0.0116132411257308,0.0094434408969932,0.0132913624849022,0.0092403561465203,0.009224323139904,0.011474288401723,0.0208535972722511,0.1916711260606987,0.2997190581759804,0.7082543018162466,0.0036216650103203,0.0058099533674795
01,005,1945512.0,0.1218702326174292,2371.0,0.1241377498445541,1701.0,16,"Barbour County, Alabama",32911,2009,2013,38,89200.0,587,0.1830826104461769,0.2285787489476959,0.1901833754254968,0.0565865085465392,0.036565279455364,0.4657589400095165,0.238351451264595,0.4743603821236412,0.4643680685187218,0.6914095384502763,0.275282749533326,0.0294279125947073,0.0775959884338055,0.0032209655576296,0.005380476556495,0.0110903700450203,0.0096628966728889,0.0114563888583873,0.0056366897258519,0.0054536803191684,0.0070641630979832,0.0253651037663335,0.2521628498727735,0.2196776929601357,0.6589130434782609,0.0023748939779474,0.0066157760814249
01,007,654153.0,0.2198262485993337,1438.0,0.2314486974022586,1863.0,15,"Bibb County, Alabama",36447,2009,2013,39,90500.0,568,0.1520172277401775,0.2749406697723477,0.1658609475257097,0.0556825173595851,0.0256658169992089,0.5548474993407753,0.1713105388063637,0.7673815592862794,0.4575459259910345,0.8599367144238376,0.125164806187923,0.0117781488968972,0.0583194163663531,0.0007031730684714,0.0045706249450646,0.0078228003867451,0.0054056429638744,0.0046585215786235,0.0047903665289619,0.0037356069262547,0.0053177463303155,0.0158653423573877,0.1669090502293321,0.206734534064213,0.7526441968692709,0.0016780400492225,0.0010068240295335
01,009,3134065.0,0.1048159498925516,3285.0,0.1148674741091802,3272.0,15,"Blount County, Alabama",44145,2009,2013,39,117100.0,600,0.1550943199763983,0.2336393454002742,0.2038942783263627,0.0539194418895232,0.0275931485691477,0.5101782274439026,0.1565867795845409,0.952571021987748,0.5036009926591812,0.7975287645558198,0.1538795272720962,0.043402807906565,0.0787879839647363,0.0031411068496954,0.005240962809989,0.0112975721500095,0.0074622980407129,0.0074449438592228,0.0034361279350259,0.0028113774013848,0.0033493570275757,0.010429863075508,0.1683005848445323,0.1118778137754028,0.7422304339586886,0.0023982833340345,0.0075735263180039
01,011,319440.0,0.2266466316053093,724.0,0.2377939700685021,654.0,16,"Bullock County, Alabama",32033,2009,2013,39,70600.0,492,0.2252931323283082,0.2371114833426391,0.1491717848501768,0.0359203424530057,0.0513679508654383,0.562069607295738,0.205750977107761,0.2792667038898194,0.4534710589986971,0.8318444072212916,0.113251442397171,0.0536013400335008,0.0591848129536571,0.000930578820026,0.0087474409082449,0.0098641354922761,0.0045598362181276,0.0092127303182579,0.0066071096221849,0.0026986785780755,0.0023264470500651,0.0227061232086357,0.2148612354521038,0.1627126230975828,0.6385993049986635,0.0,0.0107430617726051
01,013,694552.0,0.0642140545272348,446.0,0.1221728138684483,866.0,15,"Butler County, Alabama",29918,2009,2013,40,74700.0,560,0.1618017843289371,0.2527152831652444,0.1726144297905353,0.0597362296353762,0.0358320403413498,0.5651183087664856,0.2800620636152056,0.5479053529868115,0.5318076027928627,0.8498836307214895,0.1400795190069821,0.0076124903025601,0.0725853374709076,0.0041698991466252,0.0067882079131109,0.0118793638479441,0.0130430566330488,0.0070306439100077,0.0054305663304887,0.0129945694336695,0.0149825446082234,0.0276377036462373,0.2464001611116705,0.1707783707582318,0.6491803278688525,0.0111771221427852,0.0123854596717349
01,015,14921472.0,0.0505982251616998,7550.0,0.0449735967359847,6275.0,16,"Calhoun County, Alabama",39962,2009,2013,38,100600.0,615,0.1427187930067791,0.2197359702329374,0.197538100820633,0.067621523353212,0.0396384457243828,0.4483408940312962,0.2132711487163804,0.7506158995531542,0.5176614506345889,0.7154459112764837,0.2482967191667941,0.0239733591586387,0.096717467760844,0.0055133628965118,0.0102621608304874,0.0128022155393581,0.0139575581494129,0.0094975958679511,0.0083422532578962,0.0047742834327267,0.0098713831829688,0.0292233719013881,0.2663558429839073,0.1503233568957738,0.663753429507036,0.0025755752744773,0.0060347420664761
01,017,1456023.0,0.1038445134451859,1512.0,0.1298089744167693,2390.0,16,"Chambers County, Alabama",32402,2009,2013,42,81200.0,635,0.1729389368868062,0.2496705227705374,0.1910089324937765,0.0542392736857519,0.027881095328745,0.521335481036755,0.2376336213208376,0.582252159906282,0.5219212183335774,0.7631864108947137,0.2232537706838483,0.0105139844779616,0.0788109532874505,0.002723678430224,0.0097525259920925,0.0092546492897935,0.0102504026943915,0.0100161077756626,0.0123590569629521,0.0067359789134573,0.009635378532728,0.0367843022404451,0.2598062381852552,0.1893903591682419,0.6558081912257688,0.0054938563327032,0.0092745746691871
01,019,978576.0,0.1224227857621687,1198.0,0.1355889213732662,1005.0,16,"Cherokee County, Alabama",34907,2009,2013,45,99400.0,609,0.1562572021203042,0.2499807943458554,0.2223630636859491,0.054390412537451,0.0382576630560036,0.389068141660905,0.2079972343858031,0.9301682415303064,0.5041484212952293,0.5698701697779827,0.4201813013751248,0.0071060920334946,0.0835061842206345,0.0033417838211569,0.0080663747407236,0.0132519013597603,0.0061842206345548,0.0082584312821694,0.0082200199738803,0.0054159944687716,0.0094875931474226,0.0190904202197126,0.1724351050679851,0.2796044499381953,0.7192862045298559,0.0013597033374536,0.0050061804697156
